FIPS,COUNTY_NAME,VALUE
36001,ALBANY,113
36003,ALLEGANY,891
36007,BROOME,159
36009,CATTARAUGUS,502
36011,CAYUGA,374
36013,CHAUTAUQUA,526
36015,CHEMUNG,146
36017,CHENANGO,828
36019,CLINTON,149
36021,COLUMBIA,715
36023,CORTLAND,112
36025,DELAWARE,864
36027,DUTCHESS,621
36029,ERIE,740
36031,ESSEX,371
36033,FRANKLIN,189
36035,FULTON,84
36037,GENESEE,294
36039,GREENE,184
36043,HERKIMER,476
36045,JEFFERSON,470
36049,LEWIS,396
36051,LIVINGSTON,413
36053,MADISON,373
36055,MONROE,200
36057,MONTGOMERY,218
36063,NIAGARA,306
36065,ONEIDA,733
36067,ONONDAGA,83
36071,ORANGE,250
36073,ORLEANS,13
36075,OSWEGO,285
36077,OTSEGO,219
36079,PUTNAM,18
36083,RENSSELAER,361
36089,ST LAWRENCE,494
36091,SARATOGA,193
36095,SCHOHARIE,403
36097,SCHUYLER,925
36099,SENECA,7938
36103,SUFFOLK,281
36105,SULLIVAN,485
36107,TIOGA,308
36109,TOMPKINS,249
36111,ULSTER,150
36113,WARREN,24
36115,WASHINGTON,1318
36117,WAYNE,10802
36119,WESTCHESTER,257
36121,WYOMING,365
36123,YATES,204
