FIPS,COUNTY_NAME,VALUE
36001,ALBANY,28
36003,ALLEGANY,46
36007,BROOME,603
36009,CATTARAUGUS,101
36013,CHAUTAUQUA,85
36017,CHENANGO,115
36019,CLINTON,226
36021,COLUMBIA,128
36029,ERIE,156
36039,GREENE,74
36049,LEWIS,132
36051,LIVINGSTON,72
36053,MADISON,126
36057,MONTGOMERY,627
36063,NIAGARA,177
36065,ONEIDA,292
36069,ONTARIO,52
36071,ORANGE,54
36073,ORLEANS,270
36075,OSWEGO,229
36077,OTSEGO,692
36083,RENSSELAER,32
36089,ST LAWRENCE,48
36093,SCHENECTADY,46
36095,SCHOHARIE,76
36101,STEUBEN,397
36123,YATES,115
