FIPS,COUNTY_NAME,VALUE
36001,ALBANY,670
36003,ALLEGANY,2404
36007,BROOME,304
36009,CATTARAUGUS,1703
36011,CAYUGA,2760
36013,CHAUTAUQUA,1347
36015,CHEMUNG,992
36017,CHENANGO,1010
36019,CLINTON,297
36021,COLUMBIA,1682
36023,CORTLAND,483
36025,DELAWARE,1990
36027,DUTCHESS,1925
36029,ERIE,1245
36031,ESSEX,831
36033,FRANKLIN,497
36035,FULTON,409
36037,GENESEE,2729
36039,GREENE,130
36043,HERKIMER,1136
36045,JEFFERSON,1629
36049,LEWIS,501
36051,LIVINGSTON,10909
36053,MADISON,1367
36055,MONROE,635
36057,MONTGOMERY,1280
36063,NIAGARA,803
36065,ONEIDA,1666
36067,ONONDAGA,415
36069,ONTARIO,1453
36071,ORANGE,1320
36073,ORLEANS,1026
36075,OSWEGO,340
36077,OTSEGO,1673
36079,PUTNAM,147
36081,QUEENS,8
36083,RENSSELAER,1320
36089,ST LAWRENCE,1601
36091,SARATOGA,368
36093,SCHENECTADY,481
36095,SCHOHARIE,1781
36097,SCHUYLER,3147
36099,SENECA,3471
36101,STEUBEN,3314
36103,SUFFOLK,403
36105,SULLIVAN,644
36107,TIOGA,4503
36109,TOMPKINS,1242
36111,ULSTER,993
36113,WARREN,293
36115,WASHINGTON,1536
36117,WAYNE,1186
36119,WESTCHESTER,536
36121,WYOMING,1875
36123,YATES,1785
