FIPS,COUNTY_NAME,VALUE
36003,ALLEGANY,98
36007,BROOME,126
36009,CATTARAUGUS,153
36011,CAYUGA,118
36013,CHAUTAUQUA,665
36015,CHEMUNG,256
36017,CHENANGO,424
36019,CLINTON,48
36021,COLUMBIA,393
36025,DELAWARE,562
36027,DUTCHESS,963
36031,ESSEX,583
36033,FRANKLIN,78
36035,FULTON,21
36037,GENESEE,258
36039,GREENE,83
36043,HERKIMER,89
36045,JEFFERSON,149
36049,LEWIS,46
36051,LIVINGSTON,75
36053,MADISON,332
36055,MONROE,189
36057,MONTGOMERY,252
36063,NIAGARA,280
36065,ONEIDA,131
36069,ONTARIO,116
36071,ORANGE,87
36075,OSWEGO,274
36077,OTSEGO,122
36079,PUTNAM,12
36083,RENSSELAER,354
36089,ST LAWRENCE,726
36091,SARATOGA,243
36095,SCHOHARIE,247
36099,SENECA,1259
36101,STEUBEN,213
36103,SUFFOLK,5190
36107,TIOGA,211
36109,TOMPKINS,59
36111,ULSTER,349
36115,WASHINGTON,1146
36117,WAYNE,57
36121,WYOMING,125
36123,YATES,137
