FIPS,COUNTY_NAME,VALUE
39001,ADAMS,1805
39005,ASHLAND,7079
39007,ASHTABULA,4103
39009,ATHENS,327
39011,AUGLAIZE,6140
39013,BELMONT,769
39015,BROWN,603
39017,BUTLER,333
39019,CARROLL,3086
39021,CHAMPAIGN,1129
39025,CLERMONT,17
39027,CLINTON,500
39029,COLUMBIANA,8740
39031,COSHOCTON,3237
39033,CRAWFORD,1709
39037,DARKE,8576
39039,DEFIANCE,4676
39041,DELAWARE,319
39043,ERIE,218
39045,FAIRFIELD,787
39047,FAYETTE,2971
39051,FULTON,2934
39053,GALLIA,117
39055,GEAUGA,3238
39057,GREENE,745
39059,GUERNSEY,519
39063,HANCOCK,1018
39065,HARDIN,9445
39067,HARRISON,263
39069,HENRY,1937
39071,HIGHLAND,1973
39073,HOCKING,13
39075,HOLMES,17318
39077,HURON,2966
39079,JACKSON,282
39081,JEFFERSON,265
39083,KNOX,3418
39085,LAKE,122
39087,LAWRENCE,68
39089,LICKING,4682
39091,LOGAN,3409
39093,LORAIN,1708
39097,MADISON,5628
39099,MAHONING,5016
39101,MARION,4039
39103,MEDINA,2051
39105,MEIGS,528
39107,MERCER,17490
39109,MIAMI,1334
39111,MONROE,715
39113,MONTGOMERY,264
39115,MORGAN,993
39117,MORROW,1577
39119,MUSKINGUM,1053
39121,NOBLE,44
39125,PAULDING,10232
39127,PERRY,152
39129,PICKAWAY,1775
39131,PIKE,375
39133,PORTAGE,1392
39135,PREBLE,1119
39137,PUTNAM,4982
39139,RICHLAND,8340
39141,ROSS,1552
39143,SANDUSKY,1030
39145,SCIOTO,307
39147,SENECA,362
39149,SHELBY,7716
39151,STARK,7611
39155,TRUMBULL,2750
39157,TUSCARAWAS,9105
39159,UNION,1944
39161,VAN WERT,3560
39163,VINTON,57
39165,WARREN,12
39167,WASHINGTON,2177
39169,WAYNE,33772
39171,WILLIAMS,4856
39175,WYANDOT,1894
