FIPS,COUNTY_NAME,VALUE
39001,ADAMS,971
39003,ALLEN,2623
39005,ASHLAND,1777
39007,ASHTABULA,179
39009,ATHENS,428
39011,AUGLAIZE,8438
39013,BELMONT,439
39015,BROWN,200
39017,BUTLER,2776
39019,CARROLL,1187
39021,CHAMPAIGN,740
39023,CLARK,2199
39025,CLERMONT,208
39029,COLUMBIANA,1136
39031,COSHOCTON,1588
39033,CRAWFORD,3507
39037,DARKE,6436
39039,DEFIANCE,851
39041,DELAWARE,93
39043,ERIE,857
39045,FAIRFIELD,2444
39047,FAYETTE,124
39049,FRANKLIN,83
39051,FULTON,10446
39053,GALLIA,251
39057,GREENE,525
39059,GUERNSEY,1826
39063,HANCOCK,200
39065,HARDIN,2436
39067,HARRISON,117
39069,HENRY,1397
39071,HIGHLAND,2857
39073,HOCKING,104
39075,HOLMES,2080
39077,HURON,3933
39079,JACKSON,88
39081,JEFFERSON,424
39083,KNOX,1203
39089,LICKING,3021
39091,LOGAN,834
39093,LORAIN,1475
39097,MADISON,148
39099,MAHONING,368
39101,MARION,526
39103,MEDINA,325
39105,MEIGS,454
39107,MERCER,28977
39109,MIAMI,787
39111,MONROE,333
39113,MONTGOMERY,3369
39115,MORGAN,1171
39117,MORROW,1271
39119,MUSKINGUM,2043
39123,OTTAWA,2447
39125,PAULDING,860
39127,PERRY,1095
39129,PICKAWAY,1166
39133,PORTAGE,828
39135,PREBLE,10255
39137,PUTNAM,6123
39139,RICHLAND,4356
39141,ROSS,1222
39143,SANDUSKY,1371
39147,SENECA,2150
39149,SHELBY,10081
39151,STARK,1442
39155,TRUMBULL,790
39157,TUSCARAWAS,1659
39159,UNION,2038
39161,VAN WERT,6207
39163,VINTON,450
39165,WARREN,264
39167,WASHINGTON,2479
39169,WAYNE,3867
39171,WILLIAMS,1128
39173,WOOD,1302
39175,WYANDOT,662
