FIPS,COUNTY_NAME,VALUE
39001,ADAMS,169
39003,ALLEN,572
39005,ASHLAND,236737
39007,ASHTABULA,500
39009,ATHENS,385
39011,AUGLAIZE,380090
39013,BELMONT,317
39015,BROWN,191
39017,BUTLER,458
39021,CHAMPAIGN,402
39023,CLARK,137
39025,CLERMONT,1697
39027,CLINTON,492
39031,COSHOCTON,580
39035,CUYAHOGA,176
39037,DARKE,4711999
39041,DELAWARE,840
39045,FAIRFIELD,735
39047,FAYETTE,120
39049,FRANKLIN,111
39051,FULTON,120
39053,GALLIA,262
39055,GEAUGA,951
39057,GREENE,833
39059,GUERNSEY,298
39061,HAMILTON,446
39063,HANCOCK,92
39065,HARDIN,170
39067,HARRISON,178
39069,HENRY,38
39071,HIGHLAND,650
39073,HOCKING,456
39075,HOLMES,158595
39077,HURON,413
39081,JEFFERSON,124
39083,KNOX,282569
39087,LAWRENCE,78
39093,LORAIN,388
39095,LUCAS,625
39097,MADISON,308
39099,MAHONING,996
39101,MARION,210
39103,MEDINA,1409
39105,MEIGS,136
39107,MERCER,1932967
39109,MIAMI,325
39111,MONROE,407
39113,MONTGOMERY,239
39115,MORGAN,455
39119,MUSKINGUM,493
39121,NOBLE,324
39127,PERRY,948
39129,PICKAWAY,140
39131,PIKE,468
39133,PORTAGE,1044
39135,PREBLE,282
39139,RICHLAND,30840
39141,ROSS,416
39143,SANDUSKY,342
39145,SCIOTO,223
39147,SENECA,297
39149,SHELBY,83
39151,STARK,116320
39153,SUMMIT,337
39155,TRUMBULL,382
39165,WARREN,449
39167,WASHINGTON,360
39171,WILLIAMS,271
39175,WYANDOT,68
