FIPS,COUNTY_NAME,VALUE
39001,ADAMS,115
39003,ALLEN,31
39005,ASHLAND,4349
39007,ASHTABULA,32
39009,ATHENS,52
39011,AUGLAIZE,29
39013,BELMONT,18
39015,BROWN,16
39017,BUTLER,27
39019,CARROLL,118
39021,CHAMPAIGN,35
39023,CLARK,51
39025,CLERMONT,172
39027,CLINTON,62
39035,CUYAHOGA,7
39037,DARKE,45
39039,DEFIANCE,40
39041,DELAWARE,34
39045,FAIRFIELD,84
39047,FAYETTE,6
39049,FRANKLIN,41
39051,FULTON,7
39053,GALLIA,15
39055,GEAUGA,126
39057,GREENE,72
39059,GUERNSEY,215
39061,HAMILTON,9
39065,HARDIN,14
39067,HARRISON,16
39071,HIGHLAND,27
39073,HOCKING,81
39075,HOLMES,398
39077,HURON,13255
39081,JEFFERSON,7
39083,KNOX,68
39085,LAKE,21
39087,LAWRENCE,26
39089,LICKING,188
39091,LOGAN,23
39093,LORAIN,158
39095,LUCAS,23
39097,MADISON,41
39099,MAHONING,33
39101,MARION,32
39103,MEDINA,128
39105,MEIGS,15
39107,MERCER,7
39109,MIAMI,41
39111,MONROE,61
39113,MONTGOMERY,26
39115,MORGAN,156
39117,MORROW,97
39121,NOBLE,13
39127,PERRY,73
39129,PICKAWAY,4
39133,PORTAGE,74
39135,PREBLE,6
39139,RICHLAND,111
39141,ROSS,89
39143,SANDUSKY,9
39145,SCIOTO,117
39151,STARK,59
39153,SUMMIT,40
39155,TRUMBULL,470
39157,TUSCARAWAS,89
39159,UNION,55
39165,WARREN,168
39167,WASHINGTON,99
39171,WILLIAMS,48
39173,WOOD,5
