FIPS,COUNTY_NAME,VALUE
39001,ADAMS,190
39003,ALLEN,192
39005,ASHLAND,310
39007,ASHTABULA,609
39009,ATHENS,193
39011,AUGLAIZE,162
39013,BELMONT,29
39015,BROWN,190
39017,BUTLER,178
39019,CARROLL,177
39021,CHAMPAIGN,67
39023,CLARK,88
39025,CLERMONT,76
39029,COLUMBIANA,67
39031,COSHOCTON,166
39033,CRAWFORD,62
39035,CUYAHOGA,18
39037,DARKE,12
39039,DEFIANCE,18
39041,DELAWARE,149
39043,ERIE,80
39045,FAIRFIELD,130
39049,FRANKLIN,112
39051,FULTON,154
39053,GALLIA,16
39055,GEAUGA,333
39057,GREENE,91
39059,GUERNSEY,66
39063,HANCOCK,77
39065,HARDIN,65
39067,HARRISON,111
39071,HIGHLAND,75
39073,HOCKING,114
39075,HOLMES,126
39077,HURON,75
39079,JACKSON,18
39081,JEFFERSON,71
39083,KNOX,283
39085,LAKE,90
39087,LAWRENCE,28
39091,LOGAN,217
39093,LORAIN,505
39095,LUCAS,113
39097,MADISON,89
39099,MAHONING,131
39101,MARION,12
39103,MEDINA,663
39105,MEIGS,20
39109,MIAMI,282
39111,MONROE,8
39113,MONTGOMERY,156
39115,MORGAN,152
39117,MORROW,268
39119,MUSKINGUM,133
39121,NOBLE,35
39123,OTTAWA,36
39125,PAULDING,119
39127,PERRY,153
39129,PICKAWAY,274
39131,PIKE,42
39133,PORTAGE,341
39135,PREBLE,227
39137,PUTNAM,66
39139,RICHLAND,94
39141,ROSS,275
39143,SANDUSKY,33
39145,SCIOTO,44
39147,SENECA,72
39151,STARK,250
39153,SUMMIT,245
39155,TRUMBULL,258
39157,TUSCARAWAS,128
39159,UNION,161
39161,VAN WERT,72
39165,WARREN,142
39167,WASHINGTON,166
39169,WAYNE,317
39171,WILLIAMS,93
39173,WOOD,220
39175,WYANDOT,101
