FIPS,COUNTY_NAME,VALUE
39001,ADAMS,166
39003,ALLEN,120
39005,ASHLAND,78
39007,ASHTABULA,70
39009,ATHENS,89
39011,AUGLAIZE,22
39013,BELMONT,156
39015,BROWN,160
39017,BUTLER,187
39019,CARROLL,96
39021,CHAMPAIGN,84
39023,CLARK,52
39025,CLERMONT,108
39027,CLINTON,59
39029,COLUMBIANA,96
39031,COSHOCTON,102
39033,CRAWFORD,10
39037,DARKE,40
39039,DEFIANCE,24
39041,DELAWARE,32
39043,ERIE,31
39045,FAIRFIELD,119
39047,FAYETTE,18
39049,FRANKLIN,62
39051,FULTON,40
39053,GALLIA,146
39055,GEAUGA,72
39057,GREENE,90
39059,GUERNSEY,133
39061,HAMILTON,13
39063,HANCOCK,12
39065,HARDIN,22
39067,HARRISON,117
39069,HENRY,22
39071,HIGHLAND,101
39073,HOCKING,34
39075,HOLMES,216
39077,HURON,72
39079,JACKSON,91
39081,JEFFERSON,114
39083,KNOX,85
39085,LAKE,9
39087,LAWRENCE,100
39089,LICKING,321
39091,LOGAN,154
39093,LORAIN,62
39095,LUCAS,17
39097,MADISON,67
39099,MAHONING,100
39101,MARION,14
39103,MEDINA,130
39105,MEIGS,40
39107,MERCER,22
39109,MIAMI,101
39111,MONROE,131
39113,MONTGOMERY,65
39115,MORGAN,72
39117,MORROW,70
39119,MUSKINGUM,305
39121,NOBLE,94
39123,OTTAWA,8
39125,PAULDING,9
39127,PERRY,306
39129,PICKAWAY,41
39131,PIKE,66
39133,PORTAGE,120
39135,PREBLE,178
39139,RICHLAND,51
39141,ROSS,130
39143,SANDUSKY,36
39145,SCIOTO,123
39147,SENECA,16
39149,SHELBY,69
39151,STARK,127
39153,SUMMIT,57
39155,TRUMBULL,61
39157,TUSCARAWAS,297
39159,UNION,142
39161,VAN WERT,21
39163,VINTON,18
39165,WARREN,174
39167,WASHINGTON,151
39169,WAYNE,137
39171,WILLIAMS,15
39173,WOOD,30
39175,WYANDOT,14
