FIPS,COUNTY_NAME,VALUE
39003,ALLEN,24
39011,AUGLAIZE,10
39019,CARROLL,34
39023,CLARK,30
39025,CLERMONT,57
39029,COLUMBIANA,10
39031,COSHOCTON,64
39041,DELAWARE,20
39043,ERIE,24
39045,FAIRFIELD,9
39049,FRANKLIN,32
39053,GALLIA,14
39055,GEAUGA,27
39057,GREENE,36
39067,HARRISON,36
39071,HIGHLAND,18
39073,HOCKING,15
39075,HOLMES,150
39081,JEFFERSON,67
39089,LICKING,98
39091,LOGAN,12
39093,LORAIN,8
39103,MEDINA,12
39109,MIAMI,60
39111,MONROE,10
39117,MORROW,42
39119,MUSKINGUM,21
39127,PERRY,98
39131,PIKE,112
39133,PORTAGE,54
39145,SCIOTO,15
39147,SENECA,6
39151,STARK,20
39153,SUMMIT,40
39161,VAN WERT,6
39165,WARREN,24
39167,WASHINGTON,8
