FIPS,COUNTY_NAME,VALUE
39001,ADAMS,941
39003,ALLEN,397
39005,ASHLAND,581
39009,ATHENS,1495
39011,AUGLAIZE,265
39013,BELMONT,1155
39015,BROWN,361
39017,BUTLER,728
39019,CARROLL,757
39021,CHAMPAIGN,907
39023,CLARK,807
39025,CLERMONT,1023
39027,CLINTON,543
39029,COLUMBIANA,324
39031,COSHOCTON,935
39033,CRAWFORD,97
39035,CUYAHOGA,15
39037,DARKE,466
39039,DEFIANCE,380
39041,DELAWARE,159
39043,ERIE,74
39045,FAIRFIELD,973
39047,FAYETTE,451
39049,FRANKLIN,489
39051,FULTON,272
39053,GALLIA,965
39055,GEAUGA,65
39057,GREENE,453
39059,GUERNSEY,875
39061,HAMILTON,190
39063,HANCOCK,148
39065,HARDIN,166
39067,HARRISON,277
39069,HENRY,36
39071,HIGHLAND,1304
39073,HOCKING,207
39075,HOLMES,1310
39077,HURON,198
39079,JACKSON,189
39081,JEFFERSON,265
39083,KNOX,1253
39087,LAWRENCE,601
39089,LICKING,985
39091,LOGAN,903
39093,LORAIN,272
39095,LUCAS,45
39099,MAHONING,384
39101,MARION,302
39103,MEDINA,316
39105,MEIGS,266
39107,MERCER,153
39109,MIAMI,654
39111,MONROE,725
39113,MONTGOMERY,229
39115,MORGAN,457
39117,MORROW,1000
39119,MUSKINGUM,827
39121,NOBLE,485
39123,OTTAWA,55
39125,PAULDING,509
39127,PERRY,855
39129,PICKAWAY,381
39131,PIKE,471
39133,PORTAGE,407
39135,PREBLE,799
39139,RICHLAND,497
39141,ROSS,635
39145,SCIOTO,505
39147,SENECA,525
39151,STARK,499
39153,SUMMIT,269
39155,TRUMBULL,276
39157,TUSCARAWAS,699
39159,UNION,443
39161,VAN WERT,167
39163,VINTON,40
39165,WARREN,312
39167,WASHINGTON,526
39169,WAYNE,1060
39171,WILLIAMS,401
39173,WOOD,657
39175,WYANDOT,137
