FIPS,COUNTY_NAME,VALUE
39001,ADAMS,1051
39003,ALLEN,622
39005,ASHLAND,1002
39007,ASHTABULA,880
39009,ATHENS,1684
39011,AUGLAIZE,411
39013,BELMONT,1478
39015,BROWN,514
39017,BUTLER,823
39019,CARROLL,962
39021,CHAMPAIGN,1025
39023,CLARK,873
39025,CLERMONT,1460
39027,CLINTON,735
39029,COLUMBIANA,585
39031,COSHOCTON,1286
39033,CRAWFORD,247
39035,CUYAHOGA,15
39037,DARKE,573
39039,DEFIANCE,506
39041,DELAWARE,408
39043,ERIE,125
39045,FAIRFIELD,1348
39047,FAYETTE,469
39049,FRANKLIN,602
39051,FULTON,455
39053,GALLIA,1241
39055,GEAUGA,479
39057,GREENE,554
39059,GUERNSEY,1202
39061,HAMILTON,235
39063,HANCOCK,315
39065,HARDIN,249
39067,HARRISON,331
39069,HENRY,66
39071,HIGHLAND,1588
39073,HOCKING,302
39075,HOLMES,1559
39077,HURON,363
39079,JACKSON,221
39081,JEFFERSON,459
39083,KNOX,1573
39085,LAKE,42
39087,LAWRENCE,627
39089,LICKING,1386
39091,LOGAN,1197
39093,LORAIN,438
39095,LUCAS,73
39097,MADISON,385
39099,MAHONING,619
39101,MARION,410
39103,MEDINA,618
39105,MEIGS,297
39107,MERCER,261
39109,MIAMI,740
39111,MONROE,856
39113,MONTGOMERY,262
39115,MORGAN,551
39117,MORROW,1182
39119,MUSKINGUM,967
39121,NOBLE,522
39123,OTTAWA,100
39125,PAULDING,688
39127,PERRY,1001
39129,PICKAWAY,489
39131,PIKE,608
39133,PORTAGE,1058
39135,PREBLE,1004
39137,PUTNAM,803
39139,RICHLAND,616
39141,ROSS,799
39143,SANDUSKY,426
39145,SCIOTO,570
39147,SENECA,617
39149,SHELBY,287
39151,STARK,709
39153,SUMMIT,361
39155,TRUMBULL,477
39157,TUSCARAWAS,1105
39159,UNION,641
39161,VAN WERT,173
39163,VINTON,52
39165,WARREN,475
39167,WASHINGTON,735
39169,WAYNE,1790
39171,WILLIAMS,681
39173,WOOD,849
39175,WYANDOT,189
