FIPS,COUNTY_NAME,VALUE
39001,ADAMS,124
39005,ASHLAND,6
39007,ASHTABULA,162
39009,ATHENS,119
39013,BELMONT,12
39015,BROWN,105
39017,BUTLER,6
39019,CARROLL,112
39021,CHAMPAIGN,232
39023,CLARK,25
39025,CLERMONT,94
39027,CLINTON,30
39029,COLUMBIANA,71
39031,COSHOCTON,53
39033,CRAWFORD,8
39037,DARKE,98
39041,DELAWARE,36
39043,ERIE,16
39045,FAIRFIELD,31
39047,FAYETTE,62
39053,GALLIA,18
39055,GEAUGA,81
39057,GREENE,16
39059,GUERNSEY,40
39061,HAMILTON,15
39063,HANCOCK,147
39071,HIGHLAND,207
39073,HOCKING,46
39075,HOLMES,66
39077,HURON,94
39081,JEFFERSON,64
39083,KNOX,173
39085,LAKE,33
39087,LAWRENCE,42
39089,LICKING,216
39091,LOGAN,50
39093,LORAIN,82
39095,LUCAS,15
39097,MADISON,109
39099,MAHONING,41
39103,MEDINA,103
39105,MEIGS,47
39109,MIAMI,11
39113,MONTGOMERY,67
39115,MORGAN,42
39117,MORROW,90
39119,MUSKINGUM,378
39121,NOBLE,127
39125,PAULDING,16
39127,PERRY,109
39129,PICKAWAY,82
39131,PIKE,12
39133,PORTAGE,37
39135,PREBLE,29
39139,RICHLAND,48
39141,ROSS,41
39145,SCIOTO,46
39147,SENECA,42
39151,STARK,66
39153,SUMMIT,60
39155,TRUMBULL,103
39157,TUSCARAWAS,46
39159,UNION,59
39165,WARREN,34
39167,WASHINGTON,108
39169,WAYNE,72
39171,WILLIAMS,216
39173,WOOD,51
39175,WYANDOT,30
