FIPS,COUNTY_NAME,VALUE
39001,ADAMS,4
39005,ASHLAND,21
39007,ASHTABULA,9
39009,ATHENS,19
39015,BROWN,19
39025,CLERMONT,20
39037,DARKE,120
39049,FRANKLIN,30
39055,GEAUGA,59
39057,GREENE,31
39063,HANCOCK,30
39067,HARRISON,28
39071,HIGHLAND,68
39081,JEFFERSON,11
39083,KNOX,63
39089,LICKING,24
39091,LOGAN,9
39095,LUCAS,21
39097,MADISON,10
39105,MEIGS,42
39113,MONTGOMERY,14
39119,MUSKINGUM,89
39125,PAULDING,22
39133,PORTAGE,20
39135,PREBLE,11
39139,RICHLAND,19
39141,ROSS,140
39143,SANDUSKY,18
39151,STARK,93
39153,SUMMIT,33
39159,UNION,30
39161,VAN WERT,47
39163,VINTON,45
39165,WARREN,34
39167,WASHINGTON,24
39169,WAYNE,3
39173,WOOD,62
