FIPS,COUNTY_NAME,VALUE
39001,ADAMS,93
39003,ALLEN,44
39005,ASHLAND,88
39009,ATHENS,209
39011,AUGLAIZE,27
39017,BUTLER,242
39019,CARROLL,28
39021,CHAMPAIGN,143
39023,CLARK,72
39025,CLERMONT,38
39031,COSHOCTON,22
39037,DARKE,220
39039,DEFIANCE,50
39041,DELAWARE,30
39045,FAIRFIELD,194
39049,FRANKLIN,198
39051,FULTON,15
39055,GEAUGA,44
39059,GUERNSEY,165
39063,HANCOCK,60
39065,HARDIN,17
39067,HARRISON,159
39071,HIGHLAND,745
39073,HOCKING,146
39075,HOLMES,171
39077,HURON,146
39081,JEFFERSON,106
39083,KNOX,15
39087,LAWRENCE,116
39089,LICKING,382
39091,LOGAN,394
39093,LORAIN,303
39097,MADISON,14
39099,MAHONING,13
39101,MARION,213
39103,MEDINA,967
39113,MONTGOMERY,52
39115,MORGAN,203
39117,MORROW,620
39119,MUSKINGUM,137
39121,NOBLE,28
39127,PERRY,395
39129,PICKAWAY,250
39133,PORTAGE,101
39139,RICHLAND,79
39141,ROSS,128
39147,SENECA,126
39151,STARK,166
39153,SUMMIT,128
39155,TRUMBULL,185
39157,TUSCARAWAS,9
39159,UNION,68
39161,VAN WERT,109
39165,WARREN,325
39167,WASHINGTON,44
39169,WAYNE,108
39171,WILLIAMS,49
39173,WOOD,204
