FIPS,COUNTY_NAME,VALUE
39001,ADAMS,1152
39003,ALLEN,962
39005,ASHLAND,3088
39007,ASHTABULA,1008
39009,ATHENS,2316
39011,AUGLAIZE,803
39013,BELMONT,1308
39015,BROWN,491
39017,BUTLER,1183
39019,CARROLL,1712
39021,CHAMPAIGN,739
39023,CLARK,451
39025,CLERMONT,276
39027,CLINTON,1607
39029,COLUMBIANA,1733
39031,COSHOCTON,3542
39033,CRAWFORD,421
39037,DARKE,1175
39039,DEFIANCE,468
39041,DELAWARE,1803
39043,ERIE,410
39045,FAIRFIELD,1432
39047,FAYETTE,1556
39049,FRANKLIN,879
39051,FULTON,767
39053,GALLIA,1829
39055,GEAUGA,1648
39057,GREENE,1064
39059,GUERNSEY,1070
39061,HAMILTON,254
39063,HANCOCK,1569
39065,HARDIN,643
39067,HARRISON,2388
39069,HENRY,280
39071,HIGHLAND,3105
39073,HOCKING,398
39075,HOLMES,6447
39077,HURON,2699
39079,JACKSON,346
39081,JEFFERSON,649
39083,KNOX,7901
39085,LAKE,176
39087,LAWRENCE,353
39089,LICKING,3509
39091,LOGAN,2628
39093,LORAIN,1029
39095,LUCAS,412
39097,MADISON,590
39099,MAHONING,796
39101,MARION,1285
39103,MEDINA,1456
39105,MEIGS,448
39107,MERCER,1465
39109,MIAMI,1906
39111,MONROE,3017
39113,MONTGOMERY,419
39115,MORGAN,756
39117,MORROW,3302
39119,MUSKINGUM,3303
39121,NOBLE,2740
39123,OTTAWA,274
39125,PAULDING,198
39127,PERRY,938
39129,PICKAWAY,1062
39131,PIKE,279
39133,PORTAGE,1147
39135,PREBLE,1720
39137,PUTNAM,1269
39139,RICHLAND,1377
39141,ROSS,1179
39143,SANDUSKY,515
39145,SCIOTO,155
39147,SENECA,2623
39149,SHELBY,660
39151,STARK,2012
39153,SUMMIT,219
39155,TRUMBULL,401
39157,TUSCARAWAS,2449
39159,UNION,1829
39161,VAN WERT,622
39163,VINTON,136
39165,WARREN,751
39167,WASHINGTON,1497
39169,WAYNE,8202
39171,WILLIAMS,1149
39173,WOOD,465
39175,WYANDOT,1211
