FIPS,COUNTY_NAME,VALUE
40001,ADAIR,28630
40003,ALFALFA,23359
40005,ATOKA,31242
40007,BEAVER,28889
40011,BLAINE,34370
40013,BRYAN,43648
40015,CADDO,51265
40019,CARTER,27832
40021,CHEROKEE,24154
40023,CHOCTAW,34510
40029,COAL,21584
40033,COTTON,21878
40035,CRAIG,46453
40037,CREEK,23985
40039,CUSTER,35151
40041,DELAWARE,40606
40043,DEWEY,27247
40049,GARVIN,37520
40053,GRANT,16302
40057,HARMON,12662
40059,HARPER,19300
40061,HASKELL,32345
40063,HUGHES,36102
40065,JACKSON,15565
40067,JEFFERSON,31353
40069,JOHNSTON,22408
40071,KAY,17128
40073,KINGFISHER,34519
40075,KIOWA,23660
40077,LATIMER,17123
40079,LEFLORE,40638
40081,LINCOLN,41105
40085,LOVE,15318
40087,MCCLAIN,24717
40091,MCINTOSH,28807
40093,MAJOR,30626
40095,MARSHALL,13531
40097,MAYES,37104
40101,MUSKOGEE,45312
40107,OKFUSKEE,25646
40111,OKMULGEE,26467
40113,OSAGE,57999
40115,OTTAWA,27026
40119,PAYNE,29645
40123,PONTOTOC,26723
40127,PUSHMATAHA,18121
40131,ROGERS,35686
40133,SEMINOLE,19733
40135,SEQUOYAH,24186
40137,STEPHENS,36871
40139,TEXAS,20640
40141,TILLMAN,16633
40143,TULSA,6781
40145,WAGONER,18604
40147,WASHINGTON,14176
40149,WASHITA,32642
40153,WOODWARD,34575
