FIPS,COUNTY_NAME,VALUE
40001,ADAIR,56877
40003,ALFALFA,79202
40005,ATOKA,68865
40007,BEAVER,66154
40009,BECKHAM,47731
40011,BLAINE,97004
40013,BRYAN,83524
40015,CADDO,105061
40017,CANADIAN,101472
40019,CARTER,57384
40021,CHEROKEE,43097
40023,CHOCTAW,73825
40025,CIMARRON,121216
40027,CLEVELAND,20360
40029,COAL,36736
40031,COMANCHE,77290
40033,COTTON,70547
40035,CRAIG,113706
40037,CREEK,39002
40039,CUSTER,103404
40041,DELAWARE,82175
40043,DEWEY,66477
40045,ELLIS,55706
40047,GARFIELD,86236
40049,GARVIN,80183
40051,GRADY,127441
40053,GRANT,35667
40055,GREER,30108
40057,HARMON,41689
40059,HARPER,96088
40061,HASKELL,59321
40063,HUGHES,75870
40065,JACKSON,31135
40067,JEFFERSON,94207
40069,JOHNSTON,38268
40071,KAY,38175
40073,KINGFISHER,99771
40075,KIOWA,65828
40077,LATIMER,42236
40079,LEFLORE,75581
40081,LINCOLN,73698
40083,LOGAN,48803
40085,LOVE,29520
40087,MCCLAIN,51417
40089,MCCURTAIN,72969
40091,MCINTOSH,46108
40093,MAJOR,80588
40095,MARSHALL,28713
40097,MAYES,76015
40099,MURRAY,26631
40101,MUSKOGEE,72898
40103,NOBLE,58351
40105,NOWATA,70743
40107,OKFUSKEE,46990
40109,OKLAHOMA,15374
40111,OKMULGEE,50803
40113,OSAGE,133575
40115,OTTAWA,52107
40117,PAWNEE,40218
40119,PAYNE,57897
40121,PITTSBURG,85354
40123,PONTOTOC,48211
40125,POTTAWATOMIE,52664
40127,PUSHMATAHA,35507
40129,ROGER MILLS,65992
40131,ROGERS,67273
40133,SEMINOLE,36799
40135,SEQUOYAH,38736
40137,STEPHENS,79138
40139,TEXAS,243194
40141,TILLMAN,55642
40143,TULSA,11077
40145,WAGONER,33861
40147,WASHINGTON,38068
40149,WASHITA,108486
40151,WOODS,96988
40153,WOODWARD,75892
