FIPS,COUNTY_NAME,VALUE
40001,ADAIR,5204122
40005,ATOKA,106
40011,BLAINE,212
40013,BRYAN,530
40015,CADDO,452
40017,CANADIAN,212
40019,CARTER,546
40021,CHEROKEE,632317
40027,CLEVELAND,2270
40029,COAL,197
40031,COMANCHE,195
40033,COTTON,120
40035,CRAIG,949865
40037,CREEK,1024
40039,CUSTER,201
40041,DELAWARE,7102120
40043,DEWEY,259
40047,GARFIELD,332
40049,GARVIN,250
40051,GRADY,108
40053,GRANT,410
40061,HASKELL,1968965
40065,JACKSON,48
40069,JOHNSTON,78
40071,KAY,99
40073,KINGFISHER,43
40077,LATIMER,586
40079,LEFLORE,9798157
40081,LINCOLN,605
40083,LOGAN,570
40085,LOVE,65
40087,MCCLAIN,526
40089,MCCURTAIN,6851254
40091,MCINTOSH,52
40093,MAJOR,303
40095,MARSHALL,88
40097,MAYES,1025139
40099,MURRAY,58
40105,NOWATA,80
40107,OKFUSKEE,245
40109,OKLAHOMA,429
40111,OKMULGEE,472
40113,OSAGE,439
40115,OTTAWA,2001589
40117,PAWNEE,156
40119,PAYNE,1391
40121,PITTSBURG,420
40123,PONTOTOC,330
40125,POTTAWATOMIE,1249
40127,PUSHMATAHA,127
40129,ROGER MILLS,23
40133,SEMINOLE,493
40137,STEPHENS,215
40139,TEXAS,40
40141,TILLMAN,75
40143,TULSA,56
40145,WAGONER,281
40147,WASHINGTON,194
40149,WASHITA,220
40153,WOODWARD,66
