FIPS,COUNTY_NAME,VALUE
40001,ADAIR,126565
40003,ALFALFA,84
40005,ATOKA,391
40007,BEAVER,265
40009,BECKHAM,258
40011,BLAINE,64
40013,BRYAN,790
40015,CADDO,232
40017,CANADIAN,196
40019,CARTER,593
40023,CHOCTAW,338
40027,CLEVELAND,1256
40029,COAL,123
40031,COMANCHE,599
40033,COTTON,147
40037,CREEK,2122
40039,CUSTER,208
40041,DELAWARE,408907
40047,GARFIELD,427
40049,GARVIN,603
40051,GRADY,355
40059,HARPER,97
40061,HASKELL,109
40063,HUGHES,445
40065,JACKSON,50
40069,JOHNSTON,178
40071,KAY,536
40073,KINGFISHER,104
40077,LATIMER,333
40079,LEFLORE,300775
40081,LINCOLN,1106
40083,LOGAN,427
40085,LOVE,60
40087,MCCLAIN,1085
40091,MCINTOSH,328
40093,MAJOR,312
40095,MARSHALL,171
40099,MURRAY,38
40101,MUSKOGEE,25561
40103,NOBLE,323
40105,NOWATA,186
40107,OKFUSKEE,134
40109,OKLAHOMA,786
40111,OKMULGEE,1213
40113,OSAGE,279
40115,OTTAWA,205
40117,PAWNEE,467
40119,PAYNE,1415
40121,PITTSBURG,602
40123,PONTOTOC,1818
40125,POTTAWATOMIE,1693
40127,PUSHMATAHA,517
40129,ROGER MILLS,80
40131,ROGERS,726
40135,SEQUOYAH,231701
40137,STEPHENS,307
40139,TEXAS,69
40143,TULSA,908
40145,WAGONER,490
40147,WASHINGTON,760
40149,WASHITA,640
40151,WOODS,300
40153,WOODWARD,143
