FIPS,COUNTY_NAME,VALUE
40001,ADAIR,136
40005,ATOKA,188
40007,BEAVER,111
40009,BECKHAM,75
40011,BLAINE,56
40013,BRYAN,434
40015,CADDO,45
40017,CANADIAN,66
40019,CARTER,627
40021,CHEROKEE,96
40023,CHOCTAW,76
40027,CLEVELAND,172
40029,COAL,209
40031,COMANCHE,126
40033,COTTON,83
40035,CRAIG,476
40037,CREEK,486
40039,CUSTER,45
40041,DELAWARE,159
40043,DEWEY,58
40047,GARFIELD,200
40049,GARVIN,776
40051,GRADY,598
40055,GREER,42
40059,HARPER,141
40061,HASKELL,96
40063,HUGHES,36
40065,JACKSON,16
40069,JOHNSTON,16
40071,KAY,208
40073,KINGFISHER,105
40077,LATIMER,139
40079,LEFLORE,157
40081,LINCOLN,689
40083,LOGAN,351
40085,LOVE,83
40087,MCCLAIN,509
40089,MCCURTAIN,536
40091,MCINTOSH,73
40093,MAJOR,176
40095,MARSHALL,170
40097,MAYES,246
40099,MURRAY,8
40101,MUSKOGEE,909
40103,NOBLE,120
40105,NOWATA,231
40107,OKFUSKEE,82
40109,OKLAHOMA,241
40111,OKMULGEE,140
40113,OSAGE,328
40115,OTTAWA,174
40117,PAWNEE,294
40119,PAYNE,218
40121,PITTSBURG,398
40123,PONTOTOC,662
40125,POTTAWATOMIE,780
40127,PUSHMATAHA,218
40131,ROGERS,299
40133,SEMINOLE,150
40135,SEQUOYAH,223
40137,STEPHENS,190
40139,TEXAS,28
40143,TULSA,405
40145,WAGONER,268
40147,WASHINGTON,136
40149,WASHITA,54
