FIPS,COUNTY_NAME,VALUE
40005,ATOKA,7
40015,CADDO,15
40017,CANADIAN,26
40019,CARTER,27
40021,CHEROKEE,11
40027,CLEVELAND,6
40029,COAL,19
40031,COMANCHE,24
40033,COTTON,42
40035,CRAIG,20
40037,CREEK,33
40039,CUSTER,67
40045,ELLIS,8
40047,GARFIELD,15
40049,GARVIN,30
40051,GRADY,76
40065,JACKSON,12
40079,LEFLORE,27
40081,LINCOLN,68
40083,LOGAN,50
40087,MCCLAIN,53
40089,MCCURTAIN,23
40097,MAYES,29
40101,MUSKOGEE,28
40103,NOBLE,13
40109,OKLAHOMA,9
40111,OKMULGEE,20
40113,OSAGE,35
40119,PAYNE,10
40123,PONTOTOC,33
40127,PUSHMATAHA,21
40131,ROGERS,19
40153,WOODWARD,45
