FIPS,COUNTY_NAME,VALUE
40001,ADAIR,593
40003,ALFALFA,170
40005,ATOKA,2182
40007,BEAVER,242
40009,BECKHAM,1049
40011,BLAINE,259
40013,BRYAN,1341
40015,CADDO,1263
40017,CANADIAN,623
40019,CARTER,1157
40021,CHEROKEE,1590
40023,CHOCTAW,340
40027,CLEVELAND,773
40029,COAL,95
40031,COMANCHE,1218
40033,COTTON,1056
40035,CRAIG,2927
40037,CREEK,747
40039,CUSTER,927
40041,DELAWARE,1174
40043,DEWEY,409
40047,GARFIELD,2170
40049,GARVIN,842
40051,GRADY,507
40055,GREER,580
40057,HARMON,384
40059,HARPER,147
40061,HASKELL,259
40063,HUGHES,492
40065,JACKSON,58
40067,JEFFERSON,74
40069,JOHNSTON,2195
40071,KAY,1556
40073,KINGFISHER,1245
40075,KIOWA,899
40077,LATIMER,402
40079,LEFLORE,393
40081,LINCOLN,4411
40083,LOGAN,1818
40085,LOVE,352
40087,MCCLAIN,571
40089,MCCURTAIN,234
40091,MCINTOSH,389
40093,MAJOR,521
40095,MARSHALL,484
40097,MAYES,2243
40099,MURRAY,343
40101,MUSKOGEE,1000
40103,NOBLE,1001
40105,NOWATA,524
40107,OKFUSKEE,454
40109,OKLAHOMA,623
40111,OKMULGEE,626
40113,OSAGE,196
40115,OTTAWA,355
40117,PAWNEE,502
40119,PAYNE,2399
40121,PITTSBURG,188
40123,PONTOTOC,1520
40125,POTTAWATOMIE,1566
40127,PUSHMATAHA,99
40129,ROGER MILLS,356
40131,ROGERS,1630
40133,SEMINOLE,191
40135,SEQUOYAH,755
40137,STEPHENS,783
40139,TEXAS,276
40141,TILLMAN,1425
40143,TULSA,764
40145,WAGONER,1603
40147,WASHINGTON,673
40149,WASHITA,663
40151,WOODS,215
40153,WOODWARD,493
