FIPS,COUNTY_NAME,VALUE
41001,BAKER,28643
41003,BENTON,3386
41005,CLACKAMAS,6656
41007,CLATSOP,1145
41009,COLUMBIA,2222
41011,COOS,14114
41013,CROOK,19725
41015,CURRY,4697
41017,DESCHUTES,5291
41019,DOUGLAS,31737
41021,GILLIAM,4143
41023,GRANT,14105
41025,HARNEY,28035
41027,HOOD RIVER,362
41029,JACKSON,8097
41031,JEFFERSON,7781
41033,JOSEPHINE,2261
41035,KLAMATH,35556
41037,LAKE,37852
41039,LANE,13296
41041,LINCOLN,1277
41043,LINN,12435
41045,MALHEUR,84265
41047,MARION,13801
41049,MORROW,90001
41051,MULTNOMAH,411
41053,POLK,5548
41055,SHERMAN,1000
41057,TILLAMOOK,17983
41059,UMATILLA,32291
41061,UNION,8035
41063,WALLOWA,14865
41065,WASCO,7772
41067,WASHINGTON,2496
41069,WHEELER,5542
41071,YAMHILL,10104
