FIPS,COUNTY_NAME,VALUE
41001,BAKER,46702
41003,BENTON,2969
41005,CLACKAMAS,6901
41007,CLATSOP,1456
41009,COLUMBIA,2529
41011,COOS,7667
41013,CROOK,27628
41015,CURRY,3562
41019,DOUGLAS,26954
41021,GILLIAM,6522
41023,GRANT,21085
41025,HARNEY,68865
41029,JACKSON,12477
41035,KLAMATH,28448
41037,LAKE,47706
41039,LANE,8717
41041,LINCOLN,1713
41043,LINN,7799
41045,MALHEUR,75551
41047,MARION,3845
41049,MORROW,14117
41051,MULTNOMAH,858
41053,POLK,2353
41055,SHERMAN,2369
41057,TILLAMOOK,1001
41059,UMATILLA,23301
41061,UNION,16511
41063,WALLOWA,21363
41065,WASCO,13819
41067,WASHINGTON,1733
41069,WHEELER,9681
41071,YAMHILL,2927
