FIPS,COUNTY_NAME,VALUE
41001,BAKER,67
41003,BENTON,1559
41005,CLACKAMAS,426166
41007,CLATSOP,1012
41009,COLUMBIA,1268
41011,COOS,51
41013,CROOK,49
41017,DESCHUTES,514
41019,DOUGLAS,346
41023,GRANT,194
41027,HOOD RIVER,451
41029,JACKSON,678
41031,JEFFERSON,309
41033,JOSEPHINE,192
41035,KLAMATH,11
41037,LAKE,88
41043,LINN,1191697
41045,MALHEUR,245
41049,MORROW,79
41051,MULTNOMAH,3697
41057,TILLAMOOK,112
41059,UMATILLA,856
41061,UNION,222
41063,WALLOWA,161
41065,WASCO,60
41067,WASHINGTON,1420
41071,YAMHILL,648173
