FIPS,COUNTY_NAME,VALUE
41001,BAKER,82
41003,BENTON,1444
41007,CLATSOP,126
41009,COLUMBIA,2578
41013,CROOK,682
41015,CURRY,1250
41017,DESCHUTES,414
41019,DOUGLAS,500
41023,GRANT,104
41027,HOOD RIVER,169
41031,JEFFERSON,47
41033,JOSEPHINE,517
41035,KLAMATH,150
41037,LAKE,84
41039,LANE,2179
41041,LINCOLN,282
41045,MALHEUR,481
41049,MORROW,77
41051,MULTNOMAH,230
41053,POLK,337
41059,UMATILLA,246
41061,UNION,398
41063,WALLOWA,314
41065,WASCO,214
41067,WASHINGTON,1684
41069,WHEELER,55
41071,YAMHILL,1137
