FIPS,COUNTY_NAME,VALUE
41001,BAKER,26
41003,BENTON,30
41005,CLACKAMAS,770
41009,COLUMBIA,55
41011,COOS,72
41013,CROOK,48
41015,CURRY,30
41017,DESCHUTES,237
41019,DOUGLAS,146
41021,GILLIAM,5
41027,HOOD RIVER,33
41029,JACKSON,216
41031,JEFFERSON,19
41033,JOSEPHINE,126
41035,KLAMATH,60
41037,LAKE,31
41039,LANE,157
41041,LINCOLN,78
41043,LINN,150
41045,MALHEUR,18
41047,MARION,474
41049,MORROW,45
41051,MULTNOMAH,57
41053,POLK,81
41057,TILLAMOOK,11
41059,UMATILLA,27
41061,UNION,153
41063,WALLOWA,43
41065,WASCO,35
41067,WASHINGTON,276
41071,YAMHILL,306
