FIPS,COUNTY_NAME,VALUE
41001,BAKER,2029
41003,BENTON,824
41005,CLACKAMAS,6475
41007,CLATSOP,283
41009,COLUMBIA,835
41011,COOS,562
41013,CROOK,1962
41015,CURRY,245
41017,DESCHUTES,3591
41019,DOUGLAS,2298
41021,GILLIAM,155
41023,GRANT,912
41025,HARNEY,2484
41027,HOOD RIVER,233
41029,JACKSON,3777
41031,JEFFERSON,4450
41033,JOSEPHINE,1224
41035,KLAMATH,2016
41037,LAKE,1351
41039,LANE,3470
41041,LINCOLN,294
41043,LINN,2285
41045,MALHEUR,2107
41047,MARION,2496
41049,MORROW,856
41051,MULTNOMAH,399
41053,POLK,1492
41055,SHERMAN,169
41057,TILLAMOOK,232
41059,UMATILLA,2492
41061,UNION,1566
41063,WALLOWA,1145
41065,WASCO,4804
41067,WASHINGTON,1689
41069,WHEELER,242
41071,YAMHILL,2580
