FIPS,COUNTY_NAME,VALUE
41001,BAKER,20
41003,BENTON,1654
41005,CLACKAMAS,755
41007,CLATSOP,60
41009,COLUMBIA,312
41011,COOS,34
41013,CROOK,54
41015,CURRY,82
41017,DESCHUTES,305
41019,DOUGLAS,43
41023,GRANT,86
41027,HOOD RIVER,62
41029,JACKSON,412
41031,JEFFERSON,16
41033,JOSEPHINE,36
41035,KLAMATH,59
41037,LAKE,32
41039,LANE,417
41041,LINCOLN,160
41043,LINN,145
41047,MARION,1863
41049,MORROW,50
41051,MULTNOMAH,74
41053,POLK,484
41057,TILLAMOOK,26
41059,UMATILLA,233
41061,UNION,179
41065,WASCO,56
41067,WASHINGTON,314
41071,YAMHILL,299
