FIPS,COUNTY_NAME,VALUE
42001,ADAMS,109
42003,ALLEGHENY,12
42005,ARMSTRONG,56
42007,BEAVER,46
42009,BEDFORD,84
42011,BERKS,244
42013,BLAIR,85
42015,BRADFORD,83
42017,BUCKS,284
42019,BUTLER,569
42027,CENTRE,92
42029,CHESTER,328
42031,CLARION,39
42033,CLEARFIELD,44
42037,COLUMBIA,115
42039,CRAWFORD,34
42041,CUMBERLAND,201
42043,DAUPHIN,72
42045,DELAWARE,45
42049,ERIE,45
42051,FAYETTE,26
42055,FRANKLIN,450
42059,GREENE,68
42061,HUNTINGDON,128
42063,INDIANA,9
42069,LACKAWANNA,23
42071,LANCASTER,443
42073,LAWRENCE,101
42075,LEBANON,157
42077,LEHIGH,112
42079,LUZERNE,57
42081,LYCOMING,126
42085,MERCER,246
42087,MIFFLIN,24
42091,MONTGOMERY,312
42093,MONTOUR,7
42095,NORTHAMPTON,46
42099,PERRY,101
42109,SNYDER,67
42111,SOMERSET,38
42113,SULLIVAN,39
42115,SUSQUEHANNA,77
42123,WARREN,79
42125,WASHINGTON,173
42127,WAYNE,84
42129,WESTMORELAND,42
42133,YORK,307
