FIPS,COUNTY_NAME,VALUE
42001,ADAMS,7465
42003,ALLEGHENY,26
42005,ARMSTRONG,3179
42007,BEAVER,1628
42009,BEDFORD,12751
42011,BERKS,29704
42013,BLAIR,18707
42015,BRADFORD,15351
42017,BUCKS,2613
42019,BUTLER,2773
42021,CAMBRIA,1860
42027,CENTRE,10561
42029,CHESTER,21602
42031,CLARION,2075
42033,CLEARFIELD,1082
42035,CLINTON,4285
42037,COLUMBIA,2234
42039,CRAWFORD,11304
42041,CUMBERLAND,20197
42043,DAUPHIN,4671
42047,ELK,404
42049,ERIE,4329
42051,FAYETTE,2352
42055,FRANKLIN,51283
42057,FULTON,6165
42059,GREENE,868
42061,HUNTINGDON,11968
42063,INDIANA,5747
42065,JEFFERSON,1036
42067,JUNIATA,8521
42069,LACKAWANNA,1279
42071,LANCASTER,106429
42073,LAWRENCE,3062
42075,LEBANON,26054
42077,LEHIGH,1323
42079,LUZERNE,318
42081,LYCOMING,3181
42083,MCKEAN,199
42085,MERCER,6127
42087,MIFFLIN,12135
42091,MONTGOMERY,908
42093,MONTOUR,1644
42095,NORTHAMPTON,1591
42097,NORTHUMBERLAND,4377
42099,PERRY,10126
42105,POTTER,6592
42107,SCHUYLKILL,3183
42109,SNYDER,5929
42111,SOMERSET,16772
42113,SULLIVAN,2090
42115,SUSQUEHANNA,6200
42117,TIOGA,10408
42119,UNION,8173
42121,VENANGO,1407
42123,WARREN,3879
42125,WASHINGTON,1312
42127,WAYNE,4000
42129,WESTMORELAND,3787
42131,WYOMING,1117
42133,YORK,6995
