FIPS,COUNTY_NAME,VALUE
42001,ADAMS,26048
42003,ALLEGHENY,2218
42005,ARMSTRONG,16389
42007,BEAVER,6978
42009,BEDFORD,45109
42011,BERKS,85593
42013,BLAIR,39222
42015,BRADFORD,47406
42017,BUCKS,9714
42019,BUTLER,17379
42021,CAMBRIA,8671
42023,CAMERON,339
42025,CARBON,1475
42027,CENTRE,28075
42029,CHESTER,47499
42031,CLARION,12515
42033,CLEARFIELD,4940
42035,CLINTON,13197
42037,COLUMBIA,7770
42039,CRAWFORD,32216
42041,CUMBERLAND,63449
42043,DAUPHIN,15335
42047,ELK,2379
42049,ERIE,14968
42051,FAYETTE,16573
42053,FOREST,292
42055,FRANKLIN,145635
42057,FULTON,19767
42059,GREENE,12925
42061,HUNTINGDON,35470
42063,INDIANA,23060
42065,JEFFERSON,9328
42067,JUNIATA,21624
42069,LACKAWANNA,3852
42071,LANCASTER,251144
42073,LAWRENCE,11608
42075,LEBANON,64584
42077,LEHIGH,4051
42079,LUZERNE,2225
42081,LYCOMING,13790
42083,MCKEAN,3775
42085,MERCER,25069
42087,MIFFLIN,33748
42089,MONROE,1089
42091,MONTGOMERY,4274
42093,MONTOUR,6322
42095,NORTHAMPTON,5268
42097,NORTHUMBERLAND,20965
42099,PERRY,32642
42103,PIKE,215
42105,POTTER,14857
42107,SCHUYLKILL,13189
42109,SNYDER,24658
42111,SOMERSET,45802
42113,SULLIVAN,4931
42115,SUSQUEHANNA,26413
42117,TIOGA,30464
42119,UNION,23408
42121,VENANGO,5461
42123,WARREN,11113
42125,WASHINGTON,24220
42127,WAYNE,13956
42129,WESTMORELAND,23327
42131,WYOMING,6779
42133,YORK,34460
