FIPS,COUNTY_NAME,VALUE
42001,ADAMS,557
42003,ALLEGHENY,103
42005,ARMSTRONG,184
42007,BEAVER,248
42009,BEDFORD,149
42013,BLAIR,126
42015,BRADFORD,479
42017,BUCKS,176
42019,BUTLER,420
42021,CAMBRIA,53
42023,CAMERON,28
42025,CARBON,61
42027,CENTRE,394
42031,CLARION,165
42033,CLEARFIELD,65
42035,CLINTON,200
42037,COLUMBIA,436
42039,CRAWFORD,390
42047,ELK,118
42049,ERIE,313
42051,FAYETTE,249
42053,FOREST,38
42055,FRANKLIN,85346
42057,FULTON,174
42059,GREENE,20
42063,INDIANA,14218
42067,JUNIATA,382
42069,LACKAWANNA,122
42071,LANCASTER,447959
42073,LAWRENCE,100
42075,LEBANON,161
42077,LEHIGH,86
42081,LYCOMING,54
42083,MCKEAN,126
42085,MERCER,397
42087,MIFFLIN,137
42089,MONROE,20
42091,MONTGOMERY,154
42095,NORTHAMPTON,542
42099,PERRY,139
42103,PIKE,10
42111,SOMERSET,343
42113,SULLIVAN,63
42115,SUSQUEHANNA,124
42117,TIOGA,71
42119,UNION,30
42123,WARREN,300
42125,WASHINGTON,625
42127,WAYNE,172
42129,WESTMORELAND,179
42131,WYOMING,86
