FIPS,COUNTY_NAME,VALUE
42001,ADAMS,322
42003,ALLEGHENY,85
42005,ARMSTRONG,52
42007,BEAVER,39
42009,BEDFORD,116
42011,BERKS,135
42013,BLAIR,26
42015,BRADFORD,224
42017,BUCKS,81
42019,BUTLER,106
42021,CAMBRIA,42
42025,CARBON,7
42027,CENTRE,258
42029,CHESTER,799
42031,CLARION,47
42033,CLEARFIELD,18
42035,CLINTON,100
42037,COLUMBIA,90
42039,CRAWFORD,92
42041,CUMBERLAND,89
42043,DAUPHIN,168
42045,DELAWARE,16
42047,ELK,10
42049,ERIE,54
42051,FAYETTE,129
42053,FOREST,7
42055,FRANKLIN,149
42057,FULTON,61
42059,GREENE,111
42061,HUNTINGDON,96
42063,INDIANA,93
42065,JEFFERSON,38
42067,JUNIATA,40
42069,LACKAWANNA,19
42071,LANCASTER,3257
42073,LAWRENCE,86
42075,LEBANON,311
42077,LEHIGH,34
42079,LUZERNE,15
42081,LYCOMING,169
42085,MERCER,95
42087,MIFFLIN,19
42089,MONROE,14
42091,MONTGOMERY,52
42093,MONTOUR,44
42095,NORTHAMPTON,16
42097,NORTHUMBERLAND,93
42099,PERRY,30
42105,POTTER,26
42107,SCHUYLKILL,28
42109,SNYDER,35
42111,SOMERSET,46
42113,SULLIVAN,8
42115,SUSQUEHANNA,64
42117,TIOGA,103
42119,UNION,43
42121,VENANGO,31
42123,WARREN,33
42125,WASHINGTON,618
42127,WAYNE,55
42129,WESTMORELAND,92
42131,WYOMING,65
42133,YORK,367
