FIPS,COUNTY_NAME,VALUE
42001,ADAMS,170
42003,ALLEGHENY,30
42005,ARMSTRONG,146
42007,BEAVER,268
42009,BEDFORD,344
42011,BERKS,262
42013,BLAIR,15
42015,BRADFORD,114
42017,BUCKS,128
42019,BUTLER,252
42021,CAMBRIA,54
42025,CARBON,39
42027,CENTRE,112
42029,CHESTER,144
42031,CLARION,79
42033,CLEARFIELD,52
42037,COLUMBIA,162
42039,CRAWFORD,99
42041,CUMBERLAND,2670
42043,DAUPHIN,9
42049,ERIE,71
42051,FAYETTE,86
42055,FRANKLIN,288
42057,FULTON,42
42059,GREENE,275
42061,HUNTINGDON,112
42063,INDIANA,136
42065,JEFFERSON,23
42071,LANCASTER,55413
42073,LAWRENCE,147
42075,LEBANON,434
42077,LEHIGH,71
42079,LUZERNE,104
42081,LYCOMING,144
42083,MCKEAN,87
42085,MERCER,219
42087,MIFFLIN,90
42091,MONTGOMERY,90
42097,NORTHUMBERLAND,124
42099,PERRY,35
42105,POTTER,16
42109,SNYDER,24800
42111,SOMERSET,232
42113,SULLIVAN,144
42115,SUSQUEHANNA,57
42117,TIOGA,30
42119,UNION,22
42121,VENANGO,114
42123,WARREN,19
42125,WASHINGTON,101
42127,WAYNE,304
42129,WESTMORELAND,227
42131,WYOMING,3
42133,YORK,187
