FIPS,COUNTY_NAME,VALUE
42001,ADAMS,105
42007,BEAVER,32
42011,BERKS,824
42013,BLAIR,47
42015,BRADFORD,359
42017,BUCKS,235
42019,BUTLER,96
42021,CAMBRIA,176
42029,CHESTER,42
42031,CLARION,178
42035,CLINTON,35
42037,COLUMBIA,102
42039,CRAWFORD,627
42041,CUMBERLAND,284
42047,ELK,19
42049,ERIE,202
42051,FAYETTE,48
42053,FOREST,20
42055,FRANKLIN,133
42057,FULTON,294
42059,GREENE,57
42061,HUNTINGDON,120
42063,INDIANA,116
42067,JUNIATA,148
42069,LACKAWANNA,153
42071,LANCASTER,804
42075,LEBANON,188
42079,LUZERNE,134
42081,LYCOMING,71
42085,MERCER,32
42087,MIFFLIN,45
42093,MONTOUR,9
42097,NORTHUMBERLAND,283
42103,PIKE,20
42105,POTTER,10
42109,SNYDER,357
42111,SOMERSET,414
42119,UNION,290
42125,WASHINGTON,143
42127,WAYNE,38
42129,WESTMORELAND,25
42131,WYOMING,240
42133,YORK,366
