FIPS,COUNTY_NAME,VALUE
45001,ABBEVILLE,5218
45003,AIKEN,3922
45005,ALLENDALE,2808
45007,ANDERSON,14439
45009,BAMBERG,2150
45011,BARNWELL,2677
45013,BEAUFORT,72
45015,BERKELEY,741
45017,CALHOUN,1516
45019,CHARLESTON,827
45021,CHEROKEE,2810
45023,CHESTER,5646
45025,CHESTERFIELD,4153
45027,CLARENDON,1330
45029,COLLETON,1224
45031,DARLINGTON,999
45033,DILLON,702
45035,DORCHESTER,1890
45037,EDGEFIELD,1711
45039,FAIRFIELD,1235
45041,FLORENCE,870
45043,GEORGETOWN,129
45045,GREENVILLE,2488
45047,GREENWOOD,3217
45049,HAMPTON,272
45051,HORRY,1638
45053,JASPER,171
45055,KERSHAW,939
45057,LANCASTER,2571
45059,LAURENS,9631
45061,LEE,518
45063,LEXINGTON,2974
45065,MCCORMICK,697
45067,MARION,1627
45069,MARLBORO,717
45071,NEWBERRY,10514
45073,OCONEE,5869
45075,ORANGEBURG,5879
45077,PICKENS,2380
45079,RICHLAND,546
45081,SALUDA,9220
45083,SPARTANBURG,3625
45085,SUMTER,1921
45087,UNION,1679
45089,WILLIAMSBURG,940
45091,YORK,6901
