FIPS,COUNTY_NAME,VALUE
45003,AIKEN,5812
45005,ALLENDALE,2129
45007,ANDERSON,18769
45009,BAMBERG,1773
45013,BEAUFORT,489
45015,BERKELEY,1195
45021,CHEROKEE,4146
45023,CHESTER,6909
45025,CHESTERFIELD,5432
45027,CLARENDON,2232
45029,COLLETON,1707
45037,EDGEFIELD,2228
45045,GREENVILLE,4435
45051,HORRY,2726
45053,JASPER,307
45055,KERSHAW,2415
45059,LAURENS,9700
45071,NEWBERRY,8058
45073,OCONEE,8716
45075,ORANGEBURG,4088
45079,RICHLAND,854
45081,SALUDA,12222
45083,SPARTANBURG,7648
45087,UNION,3343
45089,WILLIAMSBURG,1668
45091,YORK,9491
