FIPS,COUNTY_NAME,VALUE
45001,ABBEVILLE,13687
45003,AIKEN,9787
45005,ALLENDALE,4937
45007,ANDERSON,33986
45009,BAMBERG,5859
45011,BARNWELL,4752
45013,BEAUFORT,561
45015,BERKELEY,1936
45017,CALHOUN,3552
45019,CHARLESTON,2246
45021,CHEROKEE,7004
45023,CHESTER,13879
45025,CHESTERFIELD,9624
45027,CLARENDON,3566
45029,COLLETON,2942
45031,DARLINGTON,2832
45033,DILLON,1603
45035,DORCHESTER,3946
45037,EDGEFIELD,4197
45039,FAIRFIELD,3695
45041,FLORENCE,2265
45043,GEORGETOWN,599
45045,GREENVILLE,7042
45047,GREENWOOD,8482
45049,HAMPTON,675
45051,HORRY,4368
45053,JASPER,478
45055,KERSHAW,3354
45057,LANCASTER,7185
45059,LAURENS,20709
45061,LEE,1278
45063,LEXINGTON,8692
45065,MCCORMICK,1589
45067,MARION,3917
45069,MARLBORO,1894
45071,NEWBERRY,22144
45073,OCONEE,14672
45075,ORANGEBURG,12670
45077,PICKENS,6137
45079,RICHLAND,1400
45081,SALUDA,22206
45083,SPARTANBURG,11334
45085,SUMTER,4223
45087,UNION,5036
45089,WILLIAMSBURG,2608
45091,YORK,16566
