FIPS,COUNTY_NAME,VALUE
45003,AIKEN,4259020
45007,ANDERSON,2206103
45009,BAMBERG,350200
45011,BARNWELL,564440
45013,BEAUFORT,120
45015,BERKELEY,4
45017,CALHOUN,925000
45019,CHARLESTON,352
45023,CHESTER,502
45025,CHESTERFIELD,1303753
45027,CLARENDON,2312300
45031,DARLINGTON,485544
45033,DILLON,1544500
45035,DORCHESTER,964588
45037,EDGEFIELD,496127
45043,GEORGETOWN,120
45045,GREENVILLE,3527
45049,HAMPTON,210
45051,HORRY,240173
45057,LANCASTER,303220
45059,LAURENS,2229488
45061,LEE,651085
45063,LEXINGTON,8130325
45069,MARLBORO,1899200
45071,NEWBERRY,2196566
45073,OCONEE,7242210
45075,ORANGEBURG,4129552
45077,PICKENS,844
45079,RICHLAND,400096
45081,SALUDA,4770184
45083,SPARTANBURG,1221
45085,SUMTER,1173165
45087,UNION,100
45089,WILLIAMSBURG,486
45091,YORK,7696
