FIPS,COUNTY_NAME,VALUE
45001,ABBEVILLE,174
45003,AIKEN,223771
45007,ANDERSON,725
45011,BARNWELL,300156
45013,BEAUFORT,715
45015,BERKELEY,66
45019,CHARLESTON,172
45021,CHEROKEE,65
45023,CHESTER,118
45025,CHESTERFIELD,298705
45027,CLARENDON,880
45029,COLLETON,314
45035,DORCHESTER,40557
45039,FAIRFIELD,85
45043,GEORGETOWN,30
45045,GREENVILLE,592
45047,GREENWOOD,171043
45051,HORRY,137
45057,LANCASTER,177
45059,LAURENS,353
45061,LEE,94
45063,LEXINGTON,289180
45065,MCCORMICK,517
45067,MARION,38
45069,MARLBORO,73
45075,ORANGEBURG,670
45077,PICKENS,389
45079,RICHLAND,186
45083,SPARTANBURG,629
45089,WILLIAMSBURG,61
45091,YORK,316
