FIPS,COUNTY_NAME,VALUE
45001,ABBEVILLE,98
45003,AIKEN,15575
45007,ANDERSON,8557
45009,BAMBERG,43
45011,BARNWELL,13432
45013,BEAUFORT,175
45015,BERKELEY,8
45019,CHARLESTON,66
45021,CHEROKEE,307
45025,CHESTERFIELD,22315
45029,COLLETON,53
45037,EDGEFIELD,18
45043,GEORGETOWN,14
45045,GREENVILLE,120
45047,GREENWOOD,40
45051,HORRY,60
45055,KERSHAW,114
45057,LANCASTER,46
45059,LAURENS,37
45061,LEE,27
45063,LEXINGTON,84088
45067,MARION,28
45069,MARLBORO,18
45071,NEWBERRY,56
45073,OCONEE,6585
45075,ORANGEBURG,26150
45077,PICKENS,1411
45079,RICHLAND,74
45083,SPARTANBURG,436
45085,SUMTER,14
45087,UNION,133
45089,WILLIAMSBURG,213
45091,YORK,95
