FIPS,COUNTY_NAME,VALUE
45001,ABBEVILLE,814
45003,AIKEN,5022
45005,ALLENDALE,220
45007,ANDERSON,3060
45009,BAMBERG,367
45011,BARNWELL,520
45013,BEAUFORT,609
45015,BERKELEY,621
45017,CALHOUN,612
45019,CHARLESTON,702
45021,CHEROKEE,576
45023,CHESTER,961
45025,CHESTERFIELD,888
45027,CLARENDON,414
45029,COLLETON,665
45031,DARLINGTON,445
45033,DILLON,101
45035,DORCHESTER,475
45037,EDGEFIELD,814
45039,FAIRFIELD,295
45041,FLORENCE,578
45043,GEORGETOWN,147
45045,GREENVILLE,1835
45047,GREENWOOD,1023
45049,HAMPTON,236
45051,HORRY,1099
45053,JASPER,358
45055,KERSHAW,1336
45057,LANCASTER,1111
45059,LAURENS,1096
45061,LEE,524
45063,LEXINGTON,2175
45065,MCCORMICK,145
45067,MARION,253
45069,MARLBORO,207
45071,NEWBERRY,791
45073,OCONEE,950
45075,ORANGEBURG,1230
45077,PICKENS,1307
45079,RICHLAND,1368
45081,SALUDA,579
45083,SPARTANBURG,2357
45085,SUMTER,1006
45087,UNION,199
45089,WILLIAMSBURG,376
45091,YORK,1714
