FIPS,COUNTY_NAME,VALUE
45001,ABBEVILLE,1986
45003,AIKEN,1839
45007,ANDERSON,4077
45009,BAMBERG,208
45011,BARNWELL,497
45013,BEAUFORT,232
45015,BERKELEY,790
45017,CALHOUN,451
45019,CHARLESTON,591
45021,CHEROKEE,641
45023,CHESTER,378
45025,CHESTERFIELD,1159
45027,CLARENDON,268
45029,COLLETON,661
45031,DARLINGTON,942
45033,DILLON,171
45035,DORCHESTER,403
45037,EDGEFIELD,406
45039,FAIRFIELD,201
45041,FLORENCE,791
45043,GEORGETOWN,150
45045,GREENVILLE,1471
45047,GREENWOOD,749
45049,HAMPTON,199
45051,HORRY,1231
45053,JASPER,290
45055,KERSHAW,948
45057,LANCASTER,877
45059,LAURENS,1154
45061,LEE,1699
45063,LEXINGTON,2348
45065,MCCORMICK,254
45067,MARION,209
45071,NEWBERRY,1680
45073,OCONEE,707
45075,ORANGEBURG,2651
45077,PICKENS,1006
45079,RICHLAND,748
45081,SALUDA,1044
45083,SPARTANBURG,2440
45085,SUMTER,575
45087,UNION,245
45089,WILLIAMSBURG,465
45091,YORK,811
