FIPS,COUNTY_NAME,VALUE
45001,ABBEVILLE,54
45003,AIKEN,169
45007,ANDERSON,116
45009,BAMBERG,24
45013,BEAUFORT,21
45015,BERKELEY,56
45021,CHEROKEE,69
45023,CHESTER,156
45025,CHESTERFIELD,45
45027,CLARENDON,85
45029,COLLETON,125
45035,DORCHESTER,34
45037,EDGEFIELD,72
45039,FAIRFIELD,17
45041,FLORENCE,74
45045,GREENVILLE,174
45051,HORRY,679
45055,KERSHAW,106
45057,LANCASTER,127
45059,LAURENS,166
45061,LEE,134
45063,LEXINGTON,86
45065,MCCORMICK,75
45067,MARION,210
45071,NEWBERRY,71
45073,OCONEE,54
45075,ORANGEBURG,32
45077,PICKENS,64
45079,RICHLAND,116
45083,SPARTANBURG,347
45085,SUMTER,38
45087,UNION,109
45089,WILLIAMSBURG,29
45091,YORK,81
