FIPS,COUNTY_NAME,VALUE
45001,ABBEVILLE,86
45003,AIKEN,433
45005,ALLENDALE,21
45007,ANDERSON,654
45009,BAMBERG,124
45011,BARNWELL,215
45015,BERKELEY,211
45017,CALHOUN,96
45019,CHARLESTON,415
45021,CHEROKEE,128
45023,CHESTER,137
45025,CHESTERFIELD,437
45029,COLLETON,313
45035,DORCHESTER,88
45037,EDGEFIELD,9
45039,FAIRFIELD,35
45041,FLORENCE,81
45043,GEORGETOWN,82
45045,GREENVILLE,1576
45047,GREENWOOD,169
45051,HORRY,214
45053,JASPER,1433
45055,KERSHAW,204
45057,LANCASTER,53
45059,LAURENS,196
45061,LEE,70
45063,LEXINGTON,750
45065,MCCORMICK,39
45067,MARION,41
45069,MARLBORO,7
45071,NEWBERRY,165
45073,OCONEE,587
45075,ORANGEBURG,168
45077,PICKENS,1172
45079,RICHLAND,220
45081,SALUDA,138
45083,SPARTANBURG,474
45087,UNION,58
45089,WILLIAMSBURG,64
45091,YORK,179
