FIPS,COUNTY_NAME,VALUE
46007,BENNETT,8
46011,BROOKINGS,18551
46013,BROWN,2587
46019,BUTTE,34
46023,CHARLES MIX,906
46029,CODINGTON,3520
46033,CUSTER,20
46035,DAVISON,1350
46037,DAY,1932
46039,DEUEL,7624
46043,DOUGLAS,310
46047,FALL RIVER,6
46051,GRANT,17697
46053,GREGORY,534
46055,HAAKON,22
46057,HAMLIN,8471
46061,HANSON,723
46063,HARDING,43
46067,HUTCHINSON,2310
46069,HYDE,12
46071,JACKSON,25
46075,JONES,8
46077,KINGSBURY,1085
46079,LAKE,1414
46083,LINCOLN,5728
46085,LYMAN,14
46087,MCCOOK,3002
46093,MEADE,40
46095,MELLETTE,18
46099,MINNEHAHA,9092
46101,MOODY,6396
46103,PENNINGTON,20
46105,PERKINS,15
46109,ROBERTS,861
46115,SPINK,90
46117,STANLEY,33
46121,TODD,12
46123,TRIPP,271
46125,TURNER,6656
46127,UNION,846
46135,YANKTON,104
46137,ZIEBACH,10
