FIPS,COUNTY_NAME,VALUE
46005,BEADLE,846
46009,BON HOMME,619
46011,BROOKINGS,417
46013,BROWN,1697
46015,BRULE,795
46017,BUFFALO,90
46019,BUTTE,844
46023,CHARLES MIX,800
46025,CLARK,1228
46027,CLAY,573
46029,CODINGTON,643
46031,CORSON,603
46033,CUSTER,839
46035,DAVISON,787
46037,DAY,483
46041,DEWEY,261
46045,EDMUNDS,208
46047,FALL RIVER,1298
46049,FAULK,114
46051,GRANT,651
46053,GREGORY,113
46055,HAAKON,212
46057,HAMLIN,751
46059,HAND,218
46061,HANSON,633
46063,HARDING,354
46065,HUGHES,420
46067,HUTCHINSON,1658
46069,HYDE,175
46071,JACKSON,442
46073,JERAULD,249
46075,JONES,133
46079,LAKE,1193
46081,LAWRENCE,485
46083,LINCOLN,1803
46085,LYMAN,330
46087,MCCOOK,992
46089,MCPHERSON,1984
46093,MEADE,2185
46095,MELLETTE,228
46099,MINNEHAHA,1190
46102,OGLALA LAKOTA,156
46103,PENNINGTON,1352
46105,PERKINS,379
46107,POTTER,257
46111,SANBORN,254
46115,SPINK,172
46117,STANLEY,374
46119,SULLY,139
46121,TODD,326
46123,TRIPP,1493
46125,TURNER,1724
46127,UNION,407
46129,WALWORTH,129
46135,YANKTON,1844
46137,ZIEBACH,138
