FIPS,COUNTY_NAME,VALUE
46003,AURORA,98
46005,BEADLE,20
46009,BON HOMME,26
46011,BROOKINGS,117
46013,BROWN,22
46015,BRULE,9
46019,BUTTE,91
46023,CHARLES MIX,77
46025,CLARK,12
46027,CLAY,92
46029,CODINGTON,28
46031,CORSON,12
46033,CUSTER,153
46035,DAVISON,32
46037,DAY,33
46039,DEUEL,40
46041,DEWEY,19
46043,DOUGLAS,15
46045,EDMUNDS,18
46047,FALL RIVER,26
46051,GRANT,23
46053,GREGORY,20
46055,HAAKON,18
46057,HAMLIN,41
46061,HANSON,8
46063,HARDING,10
46065,HUGHES,15
46067,HUTCHINSON,27
46069,HYDE,10
46071,JACKSON,8
46073,JERAULD,10
46077,KINGSBURY,96
46079,LAKE,41
46081,LAWRENCE,42
46083,LINCOLN,25
46085,LYMAN,5
46087,MCCOOK,19
46089,MCPHERSON,15
46091,MARSHALL,8
46093,MEADE,28
46097,MINER,20
46099,MINNEHAHA,92
46101,MOODY,16
46102,OGLALA LAKOTA,13
46103,PENNINGTON,57
46109,ROBERTS,14
46115,SPINK,56
46117,STANLEY,23
46119,SULLY,11
46123,TRIPP,77
46125,TURNER,28
46127,UNION,13
46129,WALWORTH,9
46135,YANKTON,42
