FIPS,COUNTY_NAME,VALUE
46003,AURORA,21264
46005,BEADLE,69901
46009,BON HOMME,26962
46011,BROOKINGS,73820
46015,BRULE,20540
46023,CHARLES MIX,96226
46025,CLARK,84339
46027,CLAY,11021
46033,CUSTER,3
46035,DAVISON,28236
46037,DAY,6
46039,DEUEL,54216
46043,DOUGLAS,62802
46045,EDMUNDS,27413
46047,FALL RIVER,59
46049,FAULK,63332
46051,GRANT,1380
46055,HAAKON,35
46057,HAMLIN,15841
46061,HANSON,42453
46067,HUTCHINSON,145125
46071,JACKSON,10
46079,LAKE,55061
46083,LINCOLN,40388
46087,MCCOOK,52008
46089,MCPHERSON,60966
46091,MARSHALL,51558
46093,MEADE,67
46097,MINER,26714
46099,MINNEHAHA,37565
46101,MOODY,30557
46103,PENNINGTON,104
46109,ROBERTS,16358
46115,SPINK,36328
46117,STANLEY,190
46121,TODD,65
46123,TRIPP,12117
46125,TURNER,67238
46127,UNION,50152
46129,WALWORTH,60
46135,YANKTON,15405
