FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,3190
47003,BEDFORD,27323
47005,BENTON,3613
47007,BLEDSOE,10557
47009,BLOUNT,12111
47011,BRADLEY,11551
47013,CAMPBELL,1693
47015,CANNON,8230
47017,CARROLL,3544
47019,CARTER,5118
47021,CHEATHAM,2949
47023,CHESTER,2542
47025,CLAIBORNE,16110
47027,CLAY,9200
47029,COCKE,4646
47031,COFFEE,19262
47033,CROCKETT,3236
47035,CUMBERLAND,10640
47037,DAVIDSON,1798
47039,DECATUR,3786
47041,DE KALB,6540
47043,DICKSON,8502
47045,DYER,3307
47047,FAYETTE,11826
47049,FENTRESS,14050
47051,FRANKLIN,11535
47053,GIBSON,5809
47055,GILES,24426
47057,GRAINGER,9668
47059,GREENE,29333
47061,GRUNDY,2012
47063,HAMBLEN,6952
47065,HAMILTON,4269
47067,HANCOCK,8553
47069,HARDEMAN,3710
47071,HARDIN,6660
47073,HAWKINS,15265
47075,HAYWOOD,935
47077,HENDERSON,12350
47079,HENRY,9111
47081,HICKMAN,10330
47083,HOUSTON,7705
47085,HUMPHREYS,7535
47087,JACKSON,4995
47089,JEFFERSON,15107
47091,JOHNSON,4600
47093,KNOX,6784
47095,LAKE,57
47097,LAUDERDALE,2263
47099,LAWRENCE,17287
47101,LEWIS,2888
47103,LINCOLN,36873
47105,LOUDON,8016
47107,MCMINN,15220
47109,MCNAIRY,4147
47111,MACON,9472
47113,MADISON,3508
47115,MARION,4104
47117,MARSHALL,14757
47119,MAURY,23474
47121,MEIGS,3618
47123,MONROE,19793
47125,MONTGOMERY,9249
47127,MOORE,18768
47129,MORGAN,6573
47131,OBION,7874
47133,OVERTON,15205
47135,PERRY,1706
47137,PICKETT,5635
47139,POLK,4618
47141,PUTNAM,10489
47143,RHEA,3843
47145,ROANE,3468
47147,ROBERTSON,17923
47149,RUTHERFORD,12102
47151,SCOTT,1102
47153,SEQUATCHIE,4962
47155,SEVIER,4792
47157,SHELBY,1255
47159,SMITH,9572
47161,STEWART,2462
47163,SULLIVAN,13072
47165,SUMNER,18598
47167,TIPTON,2462
47169,TROUSDALE,5736
47171,UNICOI,482
47173,UNION,4079
47175,VAN BUREN,6076
47177,WARREN,13926
47179,WASHINGTON,20814
47181,WAYNE,14955
47183,WEAKLEY,7258
47185,WHITE,18937
47187,WILLIAMSON,11118
47189,WILSON,15814
