FIPS,COUNTY_NAME,VALUE
47003,BEDFORD,26636
47009,BLOUNT,13517
47011,BRADLEY,11469
47013,CAMPBELL,3747
47017,CARROLL,5033
47019,CARTER,4306
47021,CHEATHAM,3921
47023,CHESTER,3398
47027,CLAY,9462
47029,COCKE,6699
47033,CROCKETT,4229
47035,CUMBERLAND,10992
47037,DAVIDSON,3148
47041,DE KALB,9553
47043,DICKSON,11525
47047,FAYETTE,9496
47049,FENTRESS,11437
47051,FRANKLIN,11505
47053,GIBSON,5954
47055,GILES,28254
47057,GRAINGER,12543
47059,GREENE,31698
47061,GRUNDY,3004
47063,HAMBLEN,7547
47065,HAMILTON,5232
47067,HANCOCK,8566
47069,HARDEMAN,4708
47071,HARDIN,8185
47073,HAWKINS,17819
47075,HAYWOOD,1699
47079,HENRY,7141
47081,HICKMAN,12530
47085,HUMPHREYS,9404
47087,JACKSON,5400
47089,JEFFERSON,14020
47091,JOHNSON,3965
47093,KNOX,8286
47095,LAKE,270
47099,LAWRENCE,24586
47103,LINCOLN,30928
47105,LOUDON,6849
47107,MCMINN,12810
47109,MCNAIRY,5893
47111,MACON,13139
47117,MARSHALL,16121
47119,MAURY,23253
47121,MEIGS,5477
47123,MONROE,11717
47125,MONTGOMERY,12326
47127,MOORE,6332
47129,MORGAN,4600
47131,OBION,7217
47133,OVERTON,19059
47135,PERRY,2387
47139,POLK,2459
47141,PUTNAM,12130
47145,ROANE,4566
47147,ROBERTSON,14239
47149,RUTHERFORD,15117
47153,SEQUATCHIE,2186
47155,SEVIER,6303
47157,SHELBY,1680
47161,STEWART,4563
47163,SULLIVAN,11374
47165,SUMNER,17961
47173,UNION,6147
47175,VAN BUREN,5383
47177,WARREN,16624
47179,WASHINGTON,18907
47181,WAYNE,12789
47183,WEAKLEY,6407
47185,WHITE,17717
47187,WILLIAMSON,13644
47189,WILSON,21042
