FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,3399
47003,BEDFORD,52317
47005,BENTON,1157
47007,BLEDSOE,244981
47009,BLOUNT,5402
47011,BRADLEY,175124
47013,CAMPBELL,813
47015,CANNON,13126
47017,CARROLL,1878
47019,CARTER,978
47021,CHEATHAM,1648
47023,CHESTER,772
47025,CLAIBORNE,1968
47027,CLAY,56420
47029,COCKE,3056
47031,COFFEE,2896
47033,CROCKETT,440
47035,CUMBERLAND,4390
47037,DAVIDSON,1898
47039,DECATUR,964
47041,DE KALB,1514
47043,DICKSON,3410
47045,DYER,604
47047,FAYETTE,2180
47049,FENTRESS,10407
47053,GIBSON,5122
47055,GILES,121396
47057,GRAINGER,2160
47059,GREENE,4072
47063,HAMBLEN,1704
47065,HAMILTON,24330
47067,HANCOCK,1052
47069,HARDEMAN,2810
47071,HARDIN,1701
47073,HAWKINS,6275
47075,HAYWOOD,465
47077,HENDERSON,1449
47079,HENRY,41221
47081,HICKMAN,3621
47083,HOUSTON,669
47085,HUMPHREYS,3731
47087,JACKSON,2091
47089,JEFFERSON,3020
47091,JOHNSON,2869
47093,KNOX,3836
47097,LAUDERDALE,297
47099,LAWRENCE,213893
47101,LEWIS,1695
47103,LINCOLN,51159
47105,LOUDON,1218
47107,MCMINN,19764
47109,MCNAIRY,2087
47111,MACON,62642
47113,MADISON,757
47115,MARION,1836
47117,MARSHALL,2448
47119,MAURY,4990
47121,MEIGS,729
47123,MONROE,2283
47125,MONTGOMERY,22963
47127,MOORE,519
47129,MORGAN,7101
47131,OBION,61067
47133,OVERTON,1540
47135,PERRY,1146
47137,PICKETT,189
47139,POLK,711
47141,PUTNAM,3528
47143,RHEA,67370
47145,ROANE,3295
47147,ROBERTSON,3244
47149,RUTHERFORD,7857
47151,SCOTT,854
47153,SEQUATCHIE,1014
47155,SEVIER,1650
47157,SHELBY,4375
47159,SMITH,2785
47161,STEWART,1176
47163,SULLIVAN,3196
47165,SUMNER,4980
47167,TIPTON,1251
47169,TROUSDALE,675
47171,UNICOI,223
47173,UNION,1243
47175,VAN BUREN,31043
47177,WARREN,3237
47179,WASHINGTON,2987
47181,WAYNE,389160
47183,WEAKLEY,91256
47185,WHITE,2683
47187,WILLIAMSON,5205
47189,WILSON,5622
