FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,695
47003,BEDFORD,94669
47007,BLEDSOE,129004
47009,BLOUNT,638
47011,BRADLEY,108133
47013,CAMPBELL,162
47015,CANNON,122
47017,CARROLL,372
47019,CARTER,107
47021,CHEATHAM,261
47023,CHESTER,128
47025,CLAIBORNE,170
47027,CLAY,106
47029,COCKE,341
47031,COFFEE,410
47035,CUMBERLAND,1275
47037,DAVIDSON,358
47039,DECATUR,329
47041,DE KALB,134
47043,DICKSON,363
47047,FAYETTE,110
47049,FENTRESS,129
47051,FRANKLIN,282
47053,GIBSON,141
47055,GILES,93819
47057,GRAINGER,109
47059,GREENE,566
47061,GRUNDY,440
47063,HAMBLEN,318
47067,HANCOCK,44
47069,HARDEMAN,227
47071,HARDIN,256
47073,HAWKINS,437
47077,HENDERSON,248
47079,HENRY,275
47081,HICKMAN,547
47083,HOUSTON,44
47085,HUMPHREYS,427
47087,JACKSON,401
47089,JEFFERSON,331
47091,JOHNSON,242
47093,KNOX,481
47097,LAUDERDALE,11
47099,LAWRENCE,268701
47101,LEWIS,494
47103,LINCOLN,255
47105,LOUDON,82
47107,MCMINN,218
47109,MCNAIRY,253
47111,MACON,91253
47117,MARSHALL,46160
47119,MAURY,555
47123,MONROE,203
47125,MONTGOMERY,2198
47135,PERRY,748
47141,PUTNAM,294
47143,RHEA,122
47145,ROANE,277
47149,RUTHERFORD,989
47151,SCOTT,84
47153,SEQUATCHIE,156
47155,SEVIER,231
47157,SHELBY,136
47159,SMITH,271
47161,STEWART,322
47163,SULLIVAN,792
47167,TIPTON,194
47169,TROUSDALE,46
47173,UNION,184
47177,WARREN,447
47179,WASHINGTON,446
47183,WEAKLEY,934
47185,WHITE,367
47187,WILLIAMSON,305
47189,WILSON,733
