FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,405
47005,BENTON,13
47007,BLEDSOE,28916
47009,BLOUNT,194
47011,BRADLEY,20837
47013,CAMPBELL,22
47017,CARROLL,13
47019,CARTER,17
47021,CHEATHAM,73
47023,CHESTER,19
47025,CLAIBORNE,114
47027,CLAY,6686
47029,COCKE,52
47031,COFFEE,387
47035,CUMBERLAND,74
47037,DAVIDSON,46
47039,DECATUR,57
47041,DE KALB,38
47043,DICKSON,78
47045,DYER,25
47047,FAYETTE,113
47053,GIBSON,163
47055,GILES,14228
47057,GRAINGER,59
47059,GREENE,197
47063,HAMBLEN,60
47067,HANCOCK,5
47069,HARDEMAN,38
47071,HARDIN,129
47073,HAWKINS,146
47077,HENDERSON,12
47081,HICKMAN,158
47083,HOUSTON,5
47085,HUMPHREYS,103
47087,JACKSON,52
47089,JEFFERSON,158
47091,JOHNSON,26
47093,KNOX,45
47097,LAUDERDALE,16
47099,LAWRENCE,23935
47101,LEWIS,76
47105,LOUDON,16
47109,MCNAIRY,48
47111,MACON,7303
47113,MADISON,21
47115,MARION,21
47117,MARSHALL,47
47119,MAURY,156
47123,MONROE,7
47127,MOORE,10
47129,MORGAN,773
47131,OBION,6255
47133,OVERTON,189
47135,PERRY,20
47139,POLK,19
47141,PUTNAM,72
47143,RHEA,12227
47145,ROANE,58
47147,ROBERTSON,35
47149,RUTHERFORD,453
47153,SEQUATCHIE,33
47155,SEVIER,94
47157,SHELBY,79
47159,SMITH,53
47161,STEWART,12
47163,SULLIVAN,72
47165,SUMNER,184
47167,TIPTON,56
47169,TROUSDALE,14
47173,UNION,8
47175,VAN BUREN,3619
47177,WARREN,177
47179,WASHINGTON,159
47181,WAYNE,44389
47183,WEAKLEY,9202
47185,WHITE,52
47187,WILLIAMSON,203
47189,WILSON,197
