FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,221
47003,BEDFORD,309
47007,BLEDSOE,49
47009,BLOUNT,279
47011,BRADLEY,169
47013,CAMPBELL,45
47015,CANNON,183
47017,CARROLL,21
47019,CARTER,884
47021,CHEATHAM,29
47023,CHESTER,46
47025,CLAIBORNE,86
47029,COCKE,85
47031,COFFEE,325
47033,CROCKETT,164
47035,CUMBERLAND,216
47037,DAVIDSON,138
47039,DECATUR,30
47043,DICKSON,275
47047,FAYETTE,544
47049,FENTRESS,59
47051,FRANKLIN,38
47053,GIBSON,471
47055,GILES,24
47057,GRAINGER,20
47059,GREENE,117
47061,GRUNDY,110
47063,HAMBLEN,57
47065,HAMILTON,224
47069,HARDEMAN,80
47071,HARDIN,60
47073,HAWKINS,1141
47077,HENDERSON,1182
47079,HENRY,346
47081,HICKMAN,393
47083,HOUSTON,10
47085,HUMPHREYS,136
47087,JACKSON,99
47089,JEFFERSON,150
47091,JOHNSON,36
47093,KNOX,346
47099,LAWRENCE,252
47101,LEWIS,30
47103,LINCOLN,69
47105,LOUDON,66
47107,MCMINN,72
47109,MCNAIRY,159
47111,MACON,161
47113,MADISON,29
47117,MARSHALL,253
47119,MAURY,429
47123,MONROE,179
47125,MONTGOMERY,153
47127,MOORE,60
47129,MORGAN,102
47133,OVERTON,114
47135,PERRY,79
47139,POLK,26
47141,PUTNAM,177
47143,RHEA,80
47145,ROANE,417
47147,ROBERTSON,80
47149,RUTHERFORD,463
47153,SEQUATCHIE,41
47157,SHELBY,180
47159,SMITH,125
47161,STEWART,14
47163,SULLIVAN,122
47165,SUMNER,257
47167,TIPTON,99
47169,TROUSDALE,27
47175,VAN BUREN,147
47177,WARREN,152
47179,WASHINGTON,33
47181,WAYNE,139
47183,WEAKLEY,139
47185,WHITE,46
47187,WILLIAMSON,427
47189,WILSON,186
