FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,115
47003,BEDFORD,370
47005,BENTON,75
47007,BLEDSOE,205
47009,BLOUNT,387
47011,BRADLEY,144
47013,CAMPBELL,78
47015,CANNON,275
47017,CARROLL,119
47019,CARTER,140
47021,CHEATHAM,168
47023,CHESTER,69
47025,CLAIBORNE,238
47027,CLAY,119
47029,COCKE,186
47031,COFFEE,109
47033,CROCKETT,75
47035,CUMBERLAND,230
47037,DAVIDSON,157
47039,DECATUR,39
47041,DE KALB,225
47043,DICKSON,254
47045,DYER,58
47047,FAYETTE,111
47049,FENTRESS,243
47051,FRANKLIN,192
47053,GIBSON,123
47055,GILES,461
47057,GRAINGER,300
47059,GREENE,785
47061,GRUNDY,29
47063,HAMBLEN,147
47065,HAMILTON,116
47067,HANCOCK,67
47069,HARDEMAN,76
47071,HARDIN,94
47073,HAWKINS,338
47075,HAYWOOD,36
47077,HENDERSON,74
47079,HENRY,257
47081,HICKMAN,198
47083,HOUSTON,117
47085,HUMPHREYS,184
47087,JACKSON,127
47089,JEFFERSON,271
47091,JOHNSON,137
47093,KNOX,333
47097,LAUDERDALE,33
47099,LAWRENCE,182
47101,LEWIS,110
47103,LINCOLN,320
47105,LOUDON,170
47107,MCMINN,469
47109,MCNAIRY,164
47111,MACON,231
47113,MADISON,123
47115,MARION,110
47117,MARSHALL,298
47119,MAURY,356
47121,MEIGS,58
47123,MONROE,281
47125,MONTGOMERY,248
47127,MOORE,90
47129,MORGAN,86
47131,OBION,103
47133,OVERTON,208
47135,PERRY,68
47137,PICKETT,50
47139,POLK,27
47141,PUTNAM,457
47143,RHEA,102
47145,ROANE,174
47147,ROBERTSON,295
47149,RUTHERFORD,361
47151,SCOTT,79
47153,SEQUATCHIE,66
47155,SEVIER,291
47157,SHELBY,78
47159,SMITH,269
47161,STEWART,40
47163,SULLIVAN,483
47165,SUMNER,382
47167,TIPTON,218
47169,TROUSDALE,83
47171,UNICOI,45
47173,UNION,114
47175,VAN BUREN,70
47177,WARREN,185
47179,WASHINGTON,413
47181,WAYNE,75
47183,WEAKLEY,113
47185,WHITE,218
47187,WILLIAMSON,373
47189,WILSON,479
