FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,48
47003,BEDFORD,36
47009,BLOUNT,38
47015,CANNON,44
47017,CARROLL,33
47019,CARTER,28
47021,CHEATHAM,14
47023,CHESTER,26
47029,COCKE,130
47031,COFFEE,67
47033,CROCKETT,44
47035,CUMBERLAND,32
47041,DE KALB,10
47043,DICKSON,49
47045,DYER,24
47053,GIBSON,6
47055,GILES,19
47057,GRAINGER,29
47059,GREENE,23
47063,HAMBLEN,27
47073,HAWKINS,219
47079,HENRY,9
47081,HICKMAN,90
47085,HUMPHREYS,82
47089,JEFFERSON,21
47093,KNOX,65
47099,LAWRENCE,104
47101,LEWIS,27
47103,LINCOLN,33
47105,LOUDON,8
47107,MCMINN,40
47109,MCNAIRY,29
47111,MACON,67
47113,MADISON,30
47117,MARSHALL,36
47119,MAURY,32
47125,MONTGOMERY,73
47129,MORGAN,24
47135,PERRY,29
47141,PUTNAM,41
47143,RHEA,23
47145,ROANE,119
47149,RUTHERFORD,15
47153,SEQUATCHIE,3
47155,SEVIER,29
47161,STEWART,12
47163,SULLIVAN,20
47165,SUMNER,9
47167,TIPTON,8
47179,WASHINGTON,40
47181,WAYNE,68
47185,WHITE,36
47187,WILLIAMSON,85
47189,WILSON,54
