FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,787
47003,BEDFORD,2025
47007,BLEDSOE,809
47009,BLOUNT,965
47011,BRADLEY,396
47015,CANNON,2488
47017,CARROLL,437
47019,CARTER,709
47023,CHESTER,269
47025,CLAIBORNE,498
47027,CLAY,600
47029,COCKE,743
47031,COFFEE,1525
47035,CUMBERLAND,1133
47037,DAVIDSON,796
47039,DECATUR,711
47041,DE KALB,1180
47043,DICKSON,1644
47047,FAYETTE,453
47049,FENTRESS,608
47053,GIBSON,1013
47055,GILES,1418
47057,GRAINGER,744
47059,GREENE,1248
47063,HAMBLEN,650
47065,HAMILTON,590
47067,HANCOCK,382
47069,HARDEMAN,481
47071,HARDIN,747
47073,HAWKINS,1701
47075,HAYWOOD,99
47077,HENDERSON,618
47079,HENRY,345
47081,HICKMAN,1114
47085,HUMPHREYS,313
47087,JACKSON,1031
47093,KNOX,935
47099,LAWRENCE,1636
47101,LEWIS,320
47103,LINCOLN,1533
47105,LOUDON,410
47107,MCMINN,867
47109,MCNAIRY,530
47111,MACON,2482
47115,MARION,537
47117,MARSHALL,2848
47119,MAURY,2307
47121,MEIGS,614
47123,MONROE,472
47125,MONTGOMERY,599
47127,MOORE,411
47129,MORGAN,520
47131,OBION,426
47133,OVERTON,1383
47135,PERRY,277
47137,PICKETT,542
47139,POLK,386
47141,PUTNAM,2218
47143,RHEA,433
47145,ROANE,577
47147,ROBERTSON,1314
47149,RUTHERFORD,3154
47151,SCOTT,140
47153,SEQUATCHIE,487
47155,SEVIER,625
47157,SHELBY,415
47159,SMITH,3396
47161,STEWART,791
47163,SULLIVAN,1102
47165,SUMNER,1945
47169,TROUSDALE,595
47171,UNICOI,18
47173,UNION,175
47175,VAN BUREN,441
47177,WARREN,1874
47179,WASHINGTON,795
47181,WAYNE,827
47183,WEAKLEY,970
47185,WHITE,1124
47187,WILLIAMSON,1855
47189,WILSON,3990
