FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,861
47003,BEDFORD,2207
47005,BENTON,411
47007,BLEDSOE,921
47009,BLOUNT,1299
47011,BRADLEY,469
47013,CAMPBELL,462
47015,CANNON,2590
47017,CARROLL,541
47019,CARTER,945
47021,CHEATHAM,973
47023,CHESTER,300
47025,CLAIBORNE,670
47027,CLAY,600
47029,COCKE,834
47031,COFFEE,1646
47035,CUMBERLAND,1328
47037,DAVIDSON,824
47039,DECATUR,739
47041,DE KALB,1252
47043,DICKSON,1929
47045,DYER,1269
47047,FAYETTE,499
47049,FENTRESS,681
47051,FRANKLIN,1107
47053,GIBSON,1114
47055,GILES,1589
47057,GRAINGER,818
47059,GREENE,1517
47061,GRUNDY,736
47063,HAMBLEN,659
47065,HAMILTON,752
47067,HANCOCK,432
47069,HARDEMAN,570
47071,HARDIN,841
47073,HAWKINS,1778
47077,HENDERSON,645
47079,HENRY,416
47081,HICKMAN,1405
47083,HOUSTON,356
47085,HUMPHREYS,445
47087,JACKSON,1136
47089,JEFFERSON,671
47091,JOHNSON,474
47093,KNOX,1046
47097,LAUDERDALE,276
47099,LAWRENCE,1850
47101,LEWIS,369
47103,LINCOLN,1932
47105,LOUDON,484
47107,MCMINN,1052
47109,MCNAIRY,640
47111,MACON,2596
47113,MADISON,753
47115,MARION,552
47117,MARSHALL,3077
47119,MAURY,2601
47121,MEIGS,646
47123,MONROE,560
47125,MONTGOMERY,784
47127,MOORE,434
47129,MORGAN,640
47131,OBION,447
47133,OVERTON,1454
47135,PERRY,333
47137,PICKETT,557
47139,POLK,390
47141,PUTNAM,2272
47143,RHEA,518
47145,ROANE,870
47147,ROBERTSON,1346
47149,RUTHERFORD,3405
47151,SCOTT,170
47153,SEQUATCHIE,551
47155,SEVIER,679
47157,SHELBY,445
47159,SMITH,3479
47161,STEWART,803
47163,SULLIVAN,1265
47165,SUMNER,2210
47167,TIPTON,604
47169,TROUSDALE,635
47171,UNICOI,18
47173,UNION,274
47175,VAN BUREN,561
47177,WARREN,1926
47179,WASHINGTON,895
47181,WAYNE,891
47183,WEAKLEY,1022
47185,WHITE,1264
47187,WILLIAMSON,2167
47189,WILSON,4246
