FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,217
47003,BEDFORD,73
47007,BLEDSOE,37
47009,BLOUNT,168
47011,BRADLEY,185
47015,CANNON,156
47017,CARROLL,52
47019,CARTER,94
47021,CHEATHAM,42
47025,CLAIBORNE,142
47029,COCKE,125
47031,COFFEE,157
47035,CUMBERLAND,76
47037,DAVIDSON,49
47039,DECATUR,33
47043,DICKSON,217
47047,FAYETTE,90
47049,FENTRESS,64
47053,GIBSON,154
47055,GILES,125
47057,GRAINGER,53
47059,GREENE,142
47061,GRUNDY,38
47063,HAMBLEN,51
47065,HAMILTON,115
47071,HARDIN,159
47073,HAWKINS,390
47077,HENDERSON,125
47079,HENRY,214
47081,HICKMAN,105
47083,HOUSTON,23
47085,HUMPHREYS,29
47087,JACKSON,90
47089,JEFFERSON,37
47091,JOHNSON,44
47093,KNOX,46
47099,LAWRENCE,669
47101,LEWIS,135
47103,LINCOLN,121
47105,LOUDON,30
47107,MCMINN,126
47109,MCNAIRY,84
47111,MACON,210
47113,MADISON,116
47117,MARSHALL,157
47119,MAURY,18
47121,MEIGS,24
47123,MONROE,222
47125,MONTGOMERY,83
47127,MOORE,180
47129,MORGAN,40
47131,OBION,26
47133,OVERTON,56
47135,PERRY,58
47139,POLK,95
47141,PUTNAM,49
47143,RHEA,77
47145,ROANE,204
47149,RUTHERFORD,182
47155,SEVIER,230
47157,SHELBY,87
47159,SMITH,44
47161,STEWART,180
47163,SULLIVAN,284
47165,SUMNER,130
47167,TIPTON,44
47175,VAN BUREN,29
47177,WARREN,147
47179,WASHINGTON,123
47181,WAYNE,81
47183,WEAKLEY,91
47185,WHITE,110
47187,WILLIAMSON,60
47189,WILSON,113
