FIPS,COUNTY_NAME,VALUE
47001,ANDERSON,466
47003,BEDFORD,332
47005,BENTON,189
47007,BLEDSOE,420
47009,BLOUNT,350
47011,BRADLEY,93
47013,CAMPBELL,48
47015,CANNON,121
47017,CARROLL,194
47019,CARTER,101
47021,CHEATHAM,117
47023,CHESTER,68
47025,CLAIBORNE,220
47027,CLAY,19
47031,COFFEE,318
47033,CROCKETT,24
47035,CUMBERLAND,177
47037,DAVIDSON,479
47039,DECATUR,45
47041,DE KALB,194
47043,DICKSON,226
47045,DYER,50
47047,FAYETTE,571
47049,FENTRESS,84
47051,FRANKLIN,131
47053,GIBSON,93
47055,GILES,367
47057,GRAINGER,257
47059,GREENE,264
47061,GRUNDY,62
47063,HAMBLEN,99
47065,HAMILTON,110
47067,HANCOCK,51
47069,HARDEMAN,47
47071,HARDIN,296
47073,HAWKINS,196
47075,HAYWOOD,14
47077,HENDERSON,36
47079,HENRY,102
47081,HICKMAN,260
47083,HOUSTON,40
47085,HUMPHREYS,120
47087,JACKSON,380
47089,JEFFERSON,153
47091,JOHNSON,277
47093,KNOX,500
47099,LAWRENCE,425
47101,LEWIS,73
47103,LINCOLN,228
47105,LOUDON,267
47107,MCMINN,406
47109,MCNAIRY,361
47111,MACON,226
47113,MADISON,70
47115,MARION,100
47117,MARSHALL,143
47119,MAURY,193
47121,MEIGS,56
47123,MONROE,332
47125,MONTGOMERY,154
47127,MOORE,86
47129,MORGAN,108
47131,OBION,110
47133,OVERTON,168
47135,PERRY,48
47137,PICKETT,17
47139,POLK,184
47141,PUTNAM,122
47143,RHEA,191
47145,ROANE,179
47147,ROBERTSON,191
47149,RUTHERFORD,471
47151,SCOTT,98
47153,SEQUATCHIE,20
47155,SEVIER,239
47157,SHELBY,142
47159,SMITH,169
47161,STEWART,26
47163,SULLIVAN,164
47165,SUMNER,833
47167,TIPTON,254
47169,TROUSDALE,39
47171,UNICOI,32
47173,UNION,60
47175,VAN BUREN,48
47177,WARREN,145
47179,WASHINGTON,475
47181,WAYNE,24
47183,WEAKLEY,261
47185,WHITE,172
47187,WILLIAMSON,155
47189,WILSON,351
